,users,intensityNormalized,order,freq,pcaInput,_1,_2,features,probability,prediction
10,0781bbba-c179-f93c-1116-8d684911,0.125,0.75,0.0,"[0.125,0.75,0.0]",0.07428598568629212,0.7512566101110337,"[0.07428598568629212,0.7512566101110337]","[0.35784295567510205,1.919916983999314e-16,2.3848629554914005e-13,0.6421570443246591]",3
11,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.044444224778805,0.9236235661995092,"[1.044444224778805,0.9236235661995092]","[0.00021407314947433776,0.9997859266705146,3.1206907173933495e-18,1.800111101762834e-10]",1
12,0a84077c-d3fa-56fc-803c-a863ca7e,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]",0.0015755132285669715,0.7111605358331619,"[0.0015755132285669715,0.7111605358331619]","[0.2348079127078092,2.8992554769140297e-16,2.8992854709311933e-16,0.7651920872921901]",3
13,0c9621b0-ff94-77e8-727f-5420882d,0.016666666666666663,1.0,0.5,"[0.016666666666666663,1.0,0.5]",0.6026852103900364,0.9418286196212339,"[0.6026852103900364,0.9418286196212339]","[0.849482498918635,0.13462250925097916,2.1503442163072288e-08,0.01589497032694357]",0
14,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]",-0.13142959678818533,1.2075209106673712,"[-0.13142959678818533,1.2075209106673712]","[0.0069270369449321864,1.227425220587616e-16,0.992244685497899,0.0008282775571686633]",2
15,0f165b85-0670-e6ac-bf14-cf00655a,0.0972222222222222,1.0,0.0,"[0.0972222222222222,1.0,0.0]",0.13127621793912475,0.979987038947479,"[0.13127621793912475,0.979987038947479]","[0.10144567555281853,4.3022469198935774e-17,0.8470657033732542,0.05148862107392727]",2
16,101c246c-3f77-d919-ca38-8d19141e,0.25,1.0,0.0,"[0.25,1.0,0.0]",0.060374096486173895,1.0277016095887241,"[0.060374096486173895,1.0277016095887241]","[0.03625823246064036,2.7287589975848566e-17,0.9483552364335729,0.015386531105786905]",2
17,10355f7a-f86a-830c-cbf1-fb3c40b6,0.08333333333333333,0.6666666666666666,0.0,"[0.08333333333333333,0.6666666666666666,0.0]",0.07892328208633154,0.6591082769518035,"[0.07892328208633154,0.6591082769518035]","[0.13744817257627673,1.916468784480094e-16,1.9164695041000824e-16,0.8625518274237228]",3
18,135b42ab-ac52-d14a-c37c-6ffeca28,0.5833333333333334,1.0,0.0,"[0.5833333333333334,1.0,0.0]",-0.09432144122935526,1.1318061273514408,"[-0.09432144122935526,1.1318061273514408]","[0.00716422234079028,3.1045772144917156e-17,0.9918147939801288,0.0010209836790807622]",2
19,1459b8fd-ecab-4e30-1fc9-3d649648,0.5,0.3333333333333333,0.14285714285714285,"[0.5,0.3333333333333333,0.14285714285714285]",-0.04923779831483191,0.468983613961469,"[-0.04923779831483191,0.468983613961469]","[0.001567519769429543,3.153004634286919e-16,3.153004634286919e-16,0.9984324802305699]",3
20,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,1.0,0.25,"[0.25,1.0,0.25]",0.27738621523766993,1.0212016958219299,"[0.27738621523766993,1.0212016958219299]","[0.5366749116267362,3.0823524613585077e-16,0.17334593391121536,0.28997915446204797]",0
21,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.08333333333333333,0.6666666666666666,0.25,"[0.08333333333333333,0.6666666666666666,0.25]",0.2959354008378276,0.6526083631850091,"[0.2959354008378276,0.6526083631850091]","[0.4190120090702221,2.2030194734035178e-16,9.397746295988962e-13,0.5809879909288378]",3
