,users,followingRatio,order,freq,features,probability,prediction
15,AnBn,0.14285714285714285,1.0,0.5,"[0.14285714285714285,1.0,0.5]","[3.815485528921047e-09,1.5022948056720538e-09,1.1567746786708193e-09,0.999999993525445]",3
16,Ando Saina,0.09090909090909091,1.0,1.0,"[0.09090909090909091,1.0,1.0]","[3.740719369255547e-09,2.035378447378837e-11,2.1026199041828e-16,0.9999999962389265]",3
17,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,"[0.11111111111111112,0.9,0.8181818181818182]","[0.9997679995739593,0.00021591785583783952,1.6082570202814482e-05,1.539817094784292e-17]",0
18,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,"[0.14285714285714285,0.7272727272727273,0.5]","[0.04503979428917584,0.040111244530976066,0.914848961179848,5.988281720861562e-17]",2
19,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,"[0.3333333333333333,0.2857142857142857,0.125]","[1.0768646940690142e-15,0.9999999995894684,4.1052944840296287e-10,1.0768646755992036e-15]",1
20,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,"[0.3333333333333333,0.9,0.2727272727272727]","[1.7770133532253313e-05,0.03569748987627918,0.9642847399901885,7.817793250778297e-17]",2
21,AndrejaN,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0407954340098813e-22,8.547244488257657e-09,1.8130410750429473e-18,0.9999999914527555]",3
22,Andro Zuanic,0.5,0.6666666666666666,0.5,"[0.5,0.6666666666666666,0.5]","[1.0621050701533448e-15,0.9478395721431743,0.05216042785682365,1.0621050701533403e-15]",1
23,andrzej,0.3333333333333333,0.6666666666666666,0.5,"[0.3333333333333333,0.6666666666666666,0.5]","[8.052667987947202e-08,0.23003941263603647,0.7699605068372835,2.1766577368569104e-16]",2
24,ane,1.0,1.0,0.125,"[1.0,1.0,0.125]","[1.2694196778780819e-22,1.587561330603588e-08,6.358485624343193e-20,0.9999999841243867]",3
25,Anela,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]","[3.739618586740774e-16,0.8376436307957188,0.1623563692042805,3.739554380430555e-16]",1
