,users,intensityNormalized,order,freq,catchingUpRatio,pcaInput,_1,_2,features,prediction
18,Anze-G,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",-0.33140448921344023,1.2533545952217526,"[-0.33140448921344023,1.2533545952217526]",1
19,Anzze99,0.04166666666666666,0.875,0.6666666666666666,0.3333333333333333,"[0.04166666666666666,0.875,0.6666666666666666,0.3333333333333333]",0.28442021511727844,1.1118882766983358,"[0.28442021511727844,1.1118882766983358]",2
20,Apsirtgirl,0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857,"[0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857]",0.3567405908995632,1.210248927381946,"[0.3567405908995632,1.210248927381946]",2
21,benjamin,0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334,"[0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334]",-0.5025861831492482,1.2816410421010602,"[-0.5025861831492482,1.2816410421010602]",1
22,blaz02,0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334,"[0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334]",-0.5025861831492482,1.2816410421010602,"[-0.5025861831492482,1.2816410421010602]",1
23,Bojan1825,0.04166666666666666,1.0,0.6666666666666666,0.3333333333333333,"[0.04166666666666666,1.0,0.6666666666666666,0.3333333333333333]",0.2913429642399952,1.212436376721663,"[0.2913429642399952,1.212436376721663]",2
24,Branklo,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]",0.40552974309843315,1.208720022617043,"[0.40552974309843315,1.208720022617043]",2
25,BrunoB,0.02380952380952382,0.875,0.6666666666666666,0.2222222222222222,"[0.02380952380952382,0.875,0.6666666666666666,0.2222222222222222]",0.36003066338599576,1.0631039680507985,"[0.36003066338599576,1.0631039680507985]",2
26,Buda,0.16666666666666666,0.4,0.3333333333333333,0.6666666666666666,"[0.16666666666666666,0.4,0.3333333333333333,0.6666666666666666]",-0.22454012656341993,0.7558391370166675,"[-0.22454012656341993,0.7558391370166675]",0
27,chibu79,0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333,"[0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333]",0.6310771066792412,1.2025056661156381,"[0.6310771066792412,1.2025056661156381]",2
28,Cromiza,0.14583333333333334,0.8,0.2727272727272727,0.2727272727272727,"[0.14583333333333334,0.8,0.2727272727272727,0.2727272727272727]",0.008170917150811113,0.8874971436646548,"[0.008170917150811113,0.8874971436646548]",0
29,cvjetko,0.027777777777777773,1.0,0.6666666666666666,0.25,"[0.027777777777777773,1.0,0.6666666666666666,0.25]",0.3482358488671091,1.175768372207521,"[0.3482358488671091,1.175768372207521]",2
30,Damir Mulalic,0.16666666666666666,1.0,0.16666666666666666,0.25,"[0.16666666666666666,1.0,0.16666666666666666,0.25]",-0.04734107568208061,1.0003949177273779,"[-0.04734107568208061,1.0003949177273779]",0
31,Danilo4783,0.2222222222222222,1.0,0.09090909090909093,0.2727272727272727,"[0.2222222222222222,1.0,0.09090909090909093,0.2727272727272727]",-0.13425500193259768,0.9887646401049104,"[-0.13425500193259768,0.9887646401049104]",0
32,Dario,0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111,"[0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111]",0.07704073499045112,0.9649720851396536,"[0.07704073499045112,0.9649720851396536]",0
33,DarioR,0.11111111111111112,1.0,0.14285714285714285,0.14285714285714285,"[0.11111111111111112,1.0,0.14285714285714285,0.14285714285714285]",0.02350091511616846,0.9377728330698634,"[0.02350091511616846,0.9377728330698634]",0
34,Darko Babic,0.025000000000000005,1.0,0.6923076923076923,0.15384615384615385,"[0.025000000000000005,1.0,0.6923076923076923,0.15384615384615385]",0.4265681590957291,1.1457286590857843,"[0.4265681590957291,1.1457286590857843]",2
35,Dejan Adamic,0.025000000000000005,0.5833333333333334,0.6153846153846154,0.15384615384615385,"[0.025000000000000005,0.5833333333333334,0.6153846153846154,0.15384615384615385]",0.3506056570885281,0.7801514176043655,"[0.3506056570885281,0.7801514176043655]",2
36,DejanJ,0.006944444444444438,0.9166666666666666,0.8461538461538461,0.07692307692307693,"[0.006944444444444438,0.9166666666666666,0.8461538461538461,0.07692307692307693]",0.5821958177113146,1.104841107492035,"[0.5821958177113146,1.104841107492035]",2
37,demirel,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]",-0.3498651535406849,0.98522632849288,"[-0.3498651535406849,0.98522632849288]",1
38,Deni Oreb,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]",-0.7571226996714508,1.3499983035837726,"[-0.7571226996714508,1.3499983035837726]",1
39,Dimen,0.05555555555555556,0.75,0.4,0.2,"[0.05555555555555556,0.75,0.4,0.2]",0.1717140944757832,0.853033564615928,"[0.1717140944757832,0.853033564615928]",2
