,users,intensityNormalized,order,freq,features,prediction
58,dmeic,0.13333333333333333,0.8333333333333334,0.3076923076923077,"[0.13333333333333333,0.8333333333333334,0.3076923076923077]",1
59,Domen S,0.0,1.0,0.9166666666666666,"[0.0,1.0,0.9166666666666666]",3
60,Dorsi,0.125,1.0,0.4,"[0.125,1.0,0.4]",1
61,dragana,0.11111111111111112,0.5,0.42857142857142855,"[0.11111111111111112,0.5,0.42857142857142855]",0
62,Dra��en,0.04166666666666666,0.875,0.5555555555555556,"[0.04166666666666666,0.875,0.5555555555555556]",2
63,drejc,0.03125,0.7,0.18181818181818185,"[0.03125,0.7,0.18181818181818185]",0
64,Du��i,0.13888888888888887,1.0,0.125,"[0.13888888888888887,1.0,0.125]",1
65,Edvard,0.010416666666666666,1.0,0.7777777777777778,"[0.010416666666666666,1.0,0.7777777777777778]",3
66,Efa i Neno,0.052083333333333336,0.75,0.38461538461538464,"[0.052083333333333336,0.75,0.38461538461538464]",0
67,Elena Nikolovska,0.25,1.0,0.125,"[0.25,1.0,0.125]",1
68,Ferijan Perkovic,0.04166666666666666,0.875,0.5555555555555556,"[0.04166666666666666,0.875,0.5555555555555556]",2
69,filip mestrovic,0.033333333333333326,1.0,0.7142857142857143,"[0.033333333333333326,1.0,0.7142857142857143]",3
70,Gasper,0.0625,0.6666666666666666,0.42857142857142855,"[0.0625,0.6666666666666666,0.42857142857142855]",0
71,gcampa,0.04166666666666666,1.0,0.4166666666666667,"[0.04166666666666666,1.0,0.4166666666666667]",2
72,GITA MARINKOVIC,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]",0
73,Goran Cacic,0.08333333333333333,1.0,0.08333333333333333,"[0.08333333333333333,1.0,0.08333333333333333]",1
74,Goran ��urica,0.0972222222222222,0.9166666666666666,0.3076923076923077,"[0.0972222222222222,0.9166666666666666,0.3076923076923077]",1
75,Gordan,0.1875,0.9166666666666666,0.07692307692307693,"[0.1875,0.9166666666666666,0.07692307692307693]",1
76,Gordana Genc,0.010416666666666666,1.0,0.8888888888888888,"[0.010416666666666666,1.0,0.8888888888888888]",3
77,gpet,0.016666666666666663,0.9090909090909092,0.8333333333333334,"[0.016666666666666663,0.9090909090909092,0.8333333333333334]",3
78,Gregor Primc,0.016666666666666663,1.0,0.4166666666666667,"[0.016666666666666663,1.0,0.4166666666666667]",2
79,greta,0.0625,0.6666666666666666,0.2857142857142857,"[0.0625,0.6666666666666666,0.2857142857142857]",0
80,Grozdana Sirotic,0.027777777777777773,1.0,0.5,"[0.027777777777777773,1.0,0.5]",2
81,Grup amor,0.04166666666666666,0.875,0.1111111111111111,"[0.04166666666666666,0.875,0.1111111111111111]",1
82,HanaP,0.05555555555555556,1.0,0.0,"[0.05555555555555556,1.0,0.0]",1
83,Hrvoje Juvancic,0.06666666666666668,1.0,0.5555555555555556,"[0.06666666666666668,1.0,0.5555555555555556]",2
84,Igor ��utic,0.006944444444444438,1.0,0.8461538461538461,"[0.006944444444444438,1.0,0.8461538461538461]",3
85,Igor ��afran,0.006944444444444438,0.75,0.7692307692307693,"[0.006944444444444438,0.75,0.7692307692307693]",3
86,Igor29,0.16666666666666666,1.0,0.3333333333333333,"[0.16666666666666666,1.0,0.3333333333333333]",1
87,IgorGancevic,0.13888888888888887,0.8571428571428571,0.125,"[0.13888888888888887,0.8571428571428571,0.125]",1
88,igorr,0.16666666666666666,1.0,0.2222222222222222,"[0.16666666666666666,1.0,0.2222222222222222]",1
89,iivana,0.0625,0.8333333333333334,0.2857142857142857,"[0.0625,0.8333333333333334,0.2857142857142857]",1
90,Ina,0.0,1.0,0.9,"[0.0,1.0,0.9]",3
91,Ines,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",1
92,Ivan Odrljin,0.015151515151515155,0.9166666666666666,0.6923076923076923,"[0.015151515151515155,0.9166666666666666,0.6923076923076923]",3
93,Ivana PR,0.0,1.0,1.0,"[0.0,1.0,1.0]",3
94,IvanV,0.16666666666666666,0.8,0.3333333333333333,"[0.16666666666666666,0.8,0.3333333333333333]",1
95,Ivica Komljenovic,0.4583333333333333,0.9166666666666666,0.15384615384615385,"[0.4583333333333333,0.9166666666666666,0.15384615384615385]",1
96,Iztok3,0.125,1.0,0.2,"[0.125,1.0,0.2]",1
97,jadralec Jaro,0.0119047619047619,0.7142857142857143,0.625,"[0.0119047619047619,0.7142857142857143,0.625]",2
98,Jadran,0.016666666666666663,1.0,0.8333333333333334,"[0.016666666666666663,1.0,0.8333333333333334]",3
99,Janez  stupica,0.027777777777777773,0.8571428571428571,0.625,"[0.027777777777777773,0.8571428571428571,0.625]",2
100,Jani Pristavec,0.006944444444444438,1.0,0.6923076923076923,"[0.006944444444444438,1.0,0.6923076923076923]",3
101,Jaro��,0.016666666666666663,0.8,0.5,"[0.016666666666666663,0.8,0.5]",2
102,Jasminka,0.033333333333333326,0.8333333333333334,0.5714285714285714,"[0.033333333333333326,0.8333333333333334,0.5714285714285714]",2
103,jelena,0.00833333333333334,1.0,0.9090909090909092,"[0.00833333333333334,1.0,0.9090909090909092]",3
