,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,prediction
27,1d3ed189-1162-0dd0-bcb2-fda83a50,0.4615384615384616,0.0,0.8,"[0.4615384615384616,0.0,0.8]",0.8421169403746758,-0.14548571276538116,0
28,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]",0.8007931735650813,-0.2003735260889546,0
29,1d90b45b-4d8d-42a1-43cd-38e1a241,0.38461538461538464,0.0,0.75,"[0.38461538461538464,0.0,0.75]",0.783704955657728,-0.10607220433400799,0
30,1e81aa64-c3c9-ee4f-ce3c-c4248be0,0.38461538461538464,0.3333333333333333,0.0,"[0.38461538461538464,0.3333333333333333,0.0]",0.09180598863451926,-0.49403540241481864,2
31,1f7f3fd7-7087-1461-cf43-9add2172,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",0.6963140172264373,-0.09368090103636906,0
32,1f96865d-62d4-b049-1788-cfccf324,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",1.0202799901845738,-0.012061493208920276,0
33,20e2fc85-7d0f-8a2c-b651-4b811a97,0.4615384615384616,0.08333333333333333,0.4,"[0.4615384615384616,0.08333333333333333,0.4]",0.46019305998785315,-0.2811495308602983,2
34,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,0.9230769230769232,0.9166666666666666,0.9090909090909092,"[0.9230769230769232,0.9166666666666666,0.9090909090909092]",1.1301834344175687,-1.1082534639980162,1
35,258d2e1f-e3e8-2612-8285-895fb96d,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",1.0240773719417635,-0.03301734248779728,0
36,269144fa-ef0e-c81e-52ff-df9a348a,1.0,0.1875,0.8333333333333334,"[1.0,0.1875,0.8333333333333334]",0.9652579732747798,-0.620462635038556,1
37,270174bf-baf8-aab4-48e3-139fcf47,0.3076923076923077,0.08333333333333333,0.3333333333333333,"[0.3076923076923077,0.08333333333333333,0.3333333333333333]",0.3761454260254902,-0.19625615814269487,2
