,users,catchingUpRatio,order,freq,ordinary-late,features,probability,prediction
149,abda0840-539e-d7ad-7f3c-e3005350,0.42857142857142855,0.6666666666666666,0.5714285714285714,ordinary,"[0.42857142857142855,0.6666666666666666,0.5714285714285714]","[2.379330737981737e-06,0.9448388752266472,0.05515874544261461,7.990834741573676e-17]",1
150,abe4e05a-6e7f-9b91-6fc2-255d8ca8,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]","[0.011056361433833647,2.3153084771167666e-16,0.9889436385661659,2.315308477031584e-16]",2
151,ad50ec3a-b5fa-441c-dff6-68962309,0.75,0.0,0.25,ordinary,"[0.75,0.0,0.25]","[0.006957809088520041,0.9927875590424455,0.0002546318690319785,2.4192355979811348e-15]",1
152,af82af91-5c05-62ed-d5f4-ab452057,0.375,1.0,0.125,ordinary,"[0.375,1.0,0.125]","[0.8538802785271116,7.401903591462914e-08,0.14611964745385245,9.971896010162244e-17]",0
153,b203a259-8fca-f544-f793-7196165c,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]","[0.020544191159295004,3.246635224748437e-16,0.9794558088407044,3.246635224526483e-16]",2
154,b341bfef-bd17-e48f-e3c6-71e45a3b,0.875,0.42857142857142855,0.125,ordinary,"[0.875,0.42857142857142855,0.125]","[0.19892332735354248,0.8008325218773588,0.00024415076909834203,3.368806309401746e-16]",1
155,b3ed71c3-f69d-be41-8e55-61063ba5,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]","[0.9932995034143212,0.0030098777071729584,0.003690618878505705,2.0014344745911497e-16]",0
156,b4317fab-f533-bf46-11da-30745ab3,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]","[0.020544191159295004,3.246635224748437e-16,0.9794558088407044,3.246635224526483e-16]",2
157,b51ab28b-c73d-4a8a-b819-1193d14b,0.2727272727272727,0.9,0.5454545454545454,ordinary,"[0.2727272727272727,0.9,0.5454545454545454]","[9.388666517595538e-07,0.06978646542803386,0.0821140003455932,0.8480985953597212]",3
158,bbed801c-180e-99dc-7c6b-4a6ce07e,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]","[2.3997891555358932e-14,0.23621550878445627,0.7637844912155195,3.228072853647942e-16]",2
159,bc165eba-99d1-fcf2-3c18-7b8ddbe3,0.0,0.125,0.0,ordinary,"[0.0,0.125,0.0]","[0.00037879851579316985,5.814645742822843e-15,0.9996212014841951,5.814645742822809e-15]",2
