,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
131,99d9bce0-1f7d-da02-6d84-afe0122e,0.5,0.6666666666666666,0.14285714285714285,"[0.5,0.6666666666666666,0.14285714285714285]",-0.14401153164896108,0.8159203083245987,"[-0.14401153164896108,0.8159203083245987]","[3.3247401751452563e-13,0.2816061357936268,2.392527916345756e-16,0.7183938642060405]",3
132,9c5c43e2-3def-6e8f-844e-4ee72d08,0.2,1.0,0.0,"[0.2,1.0,0.0]",0.016170076792335314,0.9915775749106072,"[0.016170076792335314,0.9915775749106072]","[0.13429925398466067,0.5673005562305633,2.942764320428539e-16,0.29840018978477567]",1
133,9cc2cc33-730e-86eb-e910-ff1ec6fd,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,"[-0.5402240115038325,1.2810683788796473]","[0.9673377968185414,1.7273944041941692e-09,7.665183915946364e-17,0.032662201454064]",0
134,9dfba79f-46d5-9b68-3a28-dff09283,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.1924777063187276,1.1001366263989971,"[-0.1924777063187276,1.1001366263989971]","[0.7856958526105355,0.003678988364397793,1.5021548326800062e-16,0.2106251590250665]",0
135,9e184ea2-45e6-abdb-90a9-fb5b011b,0.19999999999999998,0.5454545454545454,0.16666666666666666,"[0.19999999999999998,0.5454545454545454,0.16666666666666666]",0.06251954428452303,0.5996400353342205,"[0.06251954428452303,0.5996400353342205]","[5.588547613265187e-16,0.20284681036755425,5.588547613050219e-16,0.7971531896324446]",3
136,a070cc15-8fb3-b7eb-834d-d191a652,0.5,0.6666666666666666,0.25,"[0.5,0.6666666666666666,0.25]",-0.06884475093004183,0.8325592882483868,"[-0.06884475093004183,0.8325592882483868]","[4.551114553077354e-10,0.4800125685586674,2.2004210956090233e-16,0.5199874309862208]",3
137,a134cb86-69ed-3ceb-ab8b-42799b5f,0.5,0.5,0.14285714285714285,"[0.5,0.5,0.14285714285714285]",-0.16988963146002395,0.6627194960048743,"[-0.16988963146002395,0.6627194960048743]","[2.7283330027387824e-16,0.13032486821122038,2.7283330027383786e-16,0.869675131788779]",3
138,a1ac05b8-d131-07d0-f419-28c0d19a,0.5,0.08333333333333333,0.15384615384615385,"[0.5,0.08333333333333333,0.15384615384615385]",-0.22687546758061244,0.2814240272490284,"[-0.22687546758061244,0.2814240272490284]","[1.2713034858517277e-15,8.066831050208453e-05,1.2713034858517277e-15,0.9999193316894953]",3
139,a1b9f7ef-402c-6b05-11c1-33d65f47,1.0,1.0,0.0,"[1.0,1.0,0.0]",-0.5402240115038325,1.2810683788796473,"[-0.5402240115038325,1.2810683788796473]","[0.9673377968185414,1.7273944041941692e-09,7.665183915946364e-17,0.032662201454064]",0
140,a4793f2a-58de-2b33-168f-32424641,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]",-0.5919802111259582,0.9746667542401981,"[-0.5919802111259582,0.9746667542401981]","[5.604815799484289e-14,8.868568058592129e-05,8.300545264257316e-16,0.9999113143193573]",3
141,a55e8048-fa92-f072-72e3-bbf2ba61,0.16666666666666666,1.0,1.0,"[0.16666666666666666,1.0,1.0]",0.7409097838479218,1.1348126040339184,"[0.7409097838479218,1.1348126040339184]","[4.581024155220967e-23,4.4624693719370976e-08,0.9999999553724498,2.856558010994252e-12]",2
142,a7010942-2bf9-c022-3897-796a718f,0.5,0.75,0.2,"[0.5,0.75,0.2]",-0.09098353202667267,0.9013948371104813,"[-0.09098353202667267,0.9013948371104813]","[2.8799488522047506e-06,0.39967224232333054,2.7173054398754114e-16,0.6003248777278171]",3
143,a898d118-8b18-a02c-ae58-2a774d5f,0.5,0.3333333333333333,0.14285714285714285,"[0.5,0.3333333333333333,0.14285714285714285]",-0.19576773127108682,0.5095186836851497,"[-0.19576773127108682,0.5095186836851497]","[4.1557552891723546e-16,0.01728782958775692,4.1557552891723546e-16,0.9827121704122422]",3
144,a932ede5-1443-cb58-2838-6a6efc0a,0.16666666666666666,1.0,1.0,"[0.16666666666666666,1.0,1.0]",0.7409097838479218,1.1348126040339184,"[0.7409097838479218,1.1348126040339184]","[4.581024155220967e-23,4.4624693719370976e-08,0.9999999553724498,2.856558010994252e-12]",2
145,a96e9db0-5940-66d7-4a98-2379b34d,0.33333333333333337,0.75,0.2,"[0.33333333333333337,0.75,0.2]",0.02493190303502893,0.8410842529502646,"[0.02493190303502893,0.8410842529502646]","[1.1791704090525351e-07,0.7201487571007423,1.8165451640772747e-16,0.2798511249822166]",1
146,a98a0de3-d8ed-675c-b2d4-ac776c7b,0.16666666666666666,1.0,1.0,"[0.16666666666666666,1.0,1.0]",0.7409097838479218,1.1348126040339184,"[0.7409097838479218,1.1348126040339184]","[4.581024155220967e-23,4.4624693719370976e-08,0.9999999553724498,2.856558010994252e-12]",2
147,a997f5a7-10f2-8566-1c1d-559b423c,0.3333333333333333,1.0,0.15384615384615385,"[0.3333333333333333,1.0,0.15384615384615385]",0.031369516441934975,1.0637179108472967,"[0.031369516441934975,1.0637179108472967]","[0.713331879800383,0.1656603828651855,1.819931210197113e-16,0.12100773733443114]",0
148,abcc36e1-adfa-f564-04d4-d632273a,0.25,0.8,0.3333333333333333,"[0.25,0.8,0.3333333333333333]",0.1841939331816314,0.8775954906934542,"[0.1841939331816314,0.8775954906934542]","[0.0004535128118113994,0.9370240255083446,1.2928711954696702e-16,0.06252246167984382]",1
149,abda0840-539e-d7ad-7f3c-e3005350,0.25,0.6666666666666666,0.5714285714285714,"[0.25,0.6666666666666666,0.5714285714285714]",0.3305287438192683,0.7920103517794256,"[0.3305287438192683,0.7920103517794256]","[1.0546676925216304e-05,0.9569041570443934,2.7418791297842127e-16,0.04308529627868103]",1
150,abe4e05a-6e7f-9b91-6fc2-255d8ca8,0.5,0.6666666666666666,0.0,"[0.5,0.6666666666666666,0.0]",-0.24423390594085337,0.7937350017595481,"[-0.24423390594085337,0.7937350017595481]","[2.5867853391683487e-16,0.11026644514104443,2.5584313933163706e-16,0.889733554858955]",3
151,ad50ec3a-b5fa-441c-dff6-68962309,1.0,0.0,0.25,"[1.0,0.0,0.25]",-0.5201034553593982,0.4006877914501387,"[-0.5201034553593982,0.4006877914501387]","[1.6566129020782312e-15,0.0007189622395222181,1.6566129020782312e-15,0.9992810377604744]",3
