,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,probability,prediction
145,mare10,0.5384615384615384,0.20833333333333331,0.8333333333333334,"[0.5384615384615384,0.20833333333333331,0.8333333333333334]",-0.7105983750680012,0.6632647057699201,"[-0.7105983750680012,0.6632647057699201]","[1.6935418783779033e-16,1.693541878416292e-16,0.9999999999999997]",2
146,Maria,0.6153846153846154,0.0119047619047619,0.8571428571428571,"[0.6153846153846154,0.0119047619047619,0.8571428571428571]",-0.7894607303104273,0.6939656577029172,"[-0.7894607303104273,0.6939656577029172]","[1.645359905360665e-16,1.6934427778103599e-16,0.9999999999999997]",2
147,Marijana,0.5384615384615384,0.11111111111111112,1.0,"[0.5384615384615384,0.11111111111111112,1.0]",-0.7466827163445542,0.8366847438557627,"[-0.7466827163445542,0.8366847438557627]","[0.911514853759065,2.7827749726027053e-17,0.08848514624093487]",0
148,MARINO BRZAC,0.9230769230769232,0.16666666666666666,0.9090909090909092,"[0.9230769230769232,0.16666666666666666,0.9090909090909092]",-1.1021385856884196,0.6578818401528798,"[-1.1021385856884196,0.6578818401528798]","[4.398312698295096e-17,0.8840137820768318,0.11598621792316816]",1
149,Mario Bursac,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",-0.8960044739144108,0.8156515752994284,"[-0.8960044739144108,0.8156515752994284]","[0.9802884962603875,3.227399369300203e-11,0.01971150370733847]",0
150,Mario91,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",-0.8980329710701317,0.7806672603021416,"[-0.8980329710701317,0.7806672603021416]","[1.4504982440279572e-09,6.299265454067423e-09,0.9999999922502363]",2
151,Marjan Henigman,0.8461538461538461,0.00833333333333334,1.0,"[0.8461538461538461,0.00833333333333334,1.0]",-1.0460374576475078,0.7823523012378725,"[-1.0460374576475078,0.7823523012378725]","[0.9789158571886873,0.0024918452878882474,0.018592297523424346]",0
152,Markisha,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.5214103564895272,0.8904776105465639,"[-0.5214103564895272,0.8904776105465639]","[0.9810374873365693,2.124946709743083e-17,0.0189625126634307]",0
153,Marko Dundovic,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]",-1.1783337974744246,0.6570737656276311,"[-1.1783337974744246,0.6570737656276311]","[2.0404642745584065e-17,0.9684788260090815,0.03152117399091842]",1
154,Marko Kralj,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]",-0.5967348794056481,0.8685155404976794,"[-0.5967348794056481,0.8685155404976794]","[0.8513315541912604,9.290845609814836e-17,0.14866844580873967]",0
