,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,prediction
23,miranF,1.0,1.0,1.0,"[1.0,1.0,1.0]",-1.3582355331672449,-0.571537139741151,"[-1.3582355331672449,-0.571537139741151]",0
24,Nada,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",-1.2523242970615223,-0.5316037264951448,"[-1.2523242970615223,-0.5316037264951448]",0
25,Nikolaj,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
26,Nina1,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.4050344082157401,-0.212136420527096,"[-0.4050344082157401,-0.212136420527096]",1
27,NinaP,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.3989042072242223,-0.17000873218626272,"[-0.3989042072242223,-0.17000873218626272]",1
28,noordung,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]",-0.5109456443214628,-0.2520698337731021,"[-0.5109456443214628,-0.2520698337731021]",1
29,p2035e,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]",-0.4184427963672021,-0.06711909007453161,"[-0.4184427963672021,-0.06711909007453161]",1
30,Paval,1.0,0.2777777777777777,1.0,"[1.0,0.2777777777777777,1.0]",-1.0375589935924743,0.06962543841389351,"[-1.0375589935924743,0.06962543841389351]",2
31,poppy,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",-0.9959418758977487,0.1603026827684823,"[-0.9959418758977487,0.1603026827684823]",2
32,roman113,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-0.6168568804271858,-0.2920032470191082,"[-0.6168568804271858,-0.2920032470191082]",1
33,Safet,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]",-0.6313399436695417,0.022691513045830003,"[-0.6313399436695417,0.022691513045830003]",1
34,Spasic Vladimir,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]",-0.46885232370036856,0.003917942898604643,"[-0.46885232370036856,0.003917942898604643]",1
35,stinfio,1.0,0.13333333333333333,0.9166666666666666,"[1.0,0.13333333333333333,0.9166666666666666]",-0.9718911354296409,0.20838987613011067,"[-0.9718911354296409,0.20838987613011067]",2
36,Tone,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.3989042072242223,-0.17000873218626272,"[-0.3989042072242223,-0.17000873218626272]",1
37,Toni Petkovic,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]",-0.9573898586987818,0.22991608295265456,"[-0.9573898586987818,0.22991608295265456]",2
38,Valentin,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]",-1.1161955782382875,-0.08013328403965932,"[-1.1161955782382875,-0.08013328403965932]",2
39,Vanda,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]",-0.4138451456235638,-0.035523323818906674,"[-0.4138451456235638,-0.035523323818906674]",1
40,varga,0.9230769230769232,0.11666666666666665,1.0,"[0.9230769230769232,0.11666666666666665,1.0]",-0.8971133609171612,0.17860712930736597,"[-0.8971133609171612,0.17860712930736597]",2
41,Vedran Nikolic,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]",-1.2523242970615223,-0.5316037264951448,"[-1.2523242970615223,-0.5316037264951448]",0
42,��S,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.3989042072242223,-0.17000873218626272,"[-0.3989042072242223,-0.17000873218626272]",1
