,users,totalVidsRatio,intensityNormalized,order,features,prediction
75,Du��i,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]",1
76,Edvard,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",2
77,Efa i Neno,1.0,0.052083333333333336,0.75,"[1.0,0.052083333333333336,0.75]",2
78,Elena Nikolovska,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]",1
79,Ferijan Perkovic,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",2
80,filip mestrovic,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]",1
81,Gaja,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1
82,Gasper,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]",0
83,gcampa,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]",2
84,GITA MARINKOVIC,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",0
85,Goran Cacic,0.9230769230769232,0.08333333333333333,1.0,"[0.9230769230769232,0.08333333333333333,1.0]",2
86,Goran ��urica,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]",2
87,Gordan,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",2
88,Gordana Genc,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",2
89,gpet,0.9230769230769232,0.016666666666666663,0.9090909090909092,"[0.9230769230769232,0.016666666666666663,0.9090909090909092]",2
90,Gregor Primc,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]",2
91,greta,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]",0
92,Grozdana Sirotic,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",1
93,Grup amor,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",2
94,HanaP,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]",1
95,Hrvoje Juvancic,0.6923076923076923,0.06666666666666668,1.0,"[0.6923076923076923,0.06666666666666668,1.0]",2
96,Hrvoje Petek,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",2
97,Igor ��utic,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",2
98,Igor ��afran,1.0,0.006944444444444438,0.75,"[1.0,0.006944444444444438,0.75]",2
99,Igor29,0.4615384615384616,0.16666666666666666,1.0,"[0.4615384615384616,0.16666666666666666,1.0]",1
100,IgorGancevic,0.6153846153846154,0.13888888888888887,0.8571428571428571,"[0.6153846153846154,0.13888888888888887,0.8571428571428571]",1
101,igorr,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",2
102,iivana,0.5384615384615384,0.0625,0.8333333333333334,"[0.5384615384615384,0.0625,0.8333333333333334]",1
