,users,followingRatio,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
10,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667,"[0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667]",-0.00968634134671803,0.8891170313418741,"[-0.00968634134671803,0.8891170313418741]","[9.478839834438786e-11,1.2492022417124238e-16,0.5921985372245618,0.4078014626806497]",2
11,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273,"[0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273]",-0.41435992569300684,0.9766868306526828,"[-0.41435992569300684,0.9766868306526828]","[1.5779518685474402e-16,1.5779544376441114e-16,0.003165610026430445,0.9968343899735692]",3
12,Andro Zuanic,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]",-0.2844273776402165,1.009994431131947,"[-0.2844273776402165,1.009994431131947]","[1.0066786727740899e-16,1.0066786727740906e-16,0.01449044598311886,0.9855095540168809]",3
13,andrzej,0.3333333333333333,0.6666666666666666,0.5,0.25,"[0.3333333333333333,0.6666666666666666,0.5,0.25]",-0.039359236965358535,0.854252610832014,"[-0.039359236965358535,0.854252610832014]","[9.112874921613331e-12,9.598115305843137e-17,0.840418833009593,0.15958116698129404]",2
14,ane,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-0.9882534173939501,1.1745229203681018,"[-0.9882534173939501,1.1745229203681018]","[8.259305099722441e-17,0.9999995614715222,8.615653610370349e-17,4.385284775328794e-07]",1
15,Anela,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]",-0.4182407340314369,0.8219730303384312,"[-0.4182407340314369,0.8219730303384312]","[4.351707719301885e-16,4.351707719301944e-16,0.06007384795433216,0.9399261520456669]",3
16,Ankica,0.5,1.0,0.09090909090909093,0.45454545454545453,"[0.5,1.0,0.09090909090909093,0.45454545454545453]",-0.4565314658156636,0.8187859361365469,"[-0.4565314658156636,0.8187859361365469]","[4.943244896585291e-16,4.943244896599996e-16,0.02282669724839231,0.9771733027516067]",3
17,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666]",-0.06041351726799912,0.8296060870915494,"[-0.06041351726799912,0.8296060870915494]","[1.5295756979793746e-12,7.707470068422617e-17,0.9267210234964821,0.07327897650198827]",2
18,Anze-G,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-0.8510851136699836,1.2165196433668957,"[-0.8510851136699836,1.2165196433668957]","[3.056271197221687e-16,0.9999966417577282,2.7603352929761885e-14,3.358242243757178e-06]",1
19,Anzze99,0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333,"[0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333]",0.12087443589840596,1.0471729943643224,"[0.12087443589840596,1.0471729943643224]","[7.510246518327387e-08,7.882495719884224e-17,0.0021980311599982013,0.9978018937375365]",3
20,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]",0.16021262747184703,1.1242809172289072,"[0.16021262747184703,1.1242809172289072]","[3.6426972113435476e-08,1.1141644887058436e-16,0.0001090837506598088,0.999890879822368]",3
21,benjamin,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]",-0.9425306494859613,1.1885218280343666,"[-0.9425306494859613,1.1885218280343666]","[5.712537909860784e-17,0.9999996024501123,9.542724009041157e-17,3.975498875791035e-07]",1
22,blaz02,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]",-0.9425306494859613,1.1885218280343666,"[-0.9425306494859613,1.1885218280343666]","[5.712537909860784e-17,0.9999996024501123,9.542724009041157e-17,3.975498875791035e-07]",1
