,users,intensityNormalized,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
21,ane,0.5833333333333334,1.0,0.125,0.875,"[0.5833333333333334,1.0,0.125,0.875]",-0.2993906748754838,1.0774709433379508,"[-0.2993906748754838,1.0774709433379508]","[0.0015320415609514394,0.9984679584390482,3.786428234670902e-16]",1
22,Anela,0.08333333333333333,0.6666666666666666,0.25,0.5,"[0.08333333333333333,0.6666666666666666,0.25,0.5]",0.07652664413341195,0.6921201059445723,"[0.07652664413341195,0.6921201059445723]","[0.999999999999254,7.455361267464454e-13,6.0662114179745e-16]",0
23,Ankica,0.375,1.0,0.09090909090909093,0.45454545454545453,"[0.375,1.0,0.09090909090909093,0.45454545454545453]",-0.08984004713399608,0.6775507308068178,"[-0.08984004713399608,0.6775507308068178]","[0.9999999999999989,5.681258988713565e-16,5.681510883537435e-16]",0
24,Annie,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]",0.9824086807543534,0.6248332038464881,"[0.9824086807543534,0.6248332038464881]","[0.00011881544729071648,0.7226656692474486,0.27721551530526073]",1
25,ante vrataric,0.08333333333333333,1.0,0.3333333333333333,0.16666666666666666,"[0.08333333333333333,1.0,0.3333333333333333,0.16666666666666666]",0.3271615615116321,0.5029243599433192,"[0.3271615615116321,0.5029243599433192]","[0.9747384008443879,1.5918540289870252e-16,0.025261599155611988]",0
26,anton jane��,0.10000000000000002,1.0,0.3636363636363637,0.0,"[0.10000000000000002,1.0,0.3636363636363637,0.0]",0.4137326398192875,0.3693937797011161,"[0.4137326398192875,0.3693937797011161]","[0.10246554662325927,6.037625952635974e-17,0.8975344533767406]",2
27,Anze-G,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]",-0.032303056529288665,0.9953584634308071,"[-0.032303056529288665,0.9953584634308071]","[0.026145080839652484,0.9738549191603474,1.4299284062992776e-16]",1
28,Anzze99,0.04166666666666666,0.875,0.6666666666666666,0.3333333333333333,"[0.04166666666666666,0.875,0.6666666666666666,0.3333333333333333]",0.537056863000116,0.7581064077101095,"[0.537056863000116,0.7581064077101095]","[0.0417409605741392,0.9582590066662305,3.275963028393891e-08]",1
29,Apsirtgirl,0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857,"[0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857]",0.6166452479015806,0.7616647447543621,"[0.6166452479015806,0.7616647447543621]","[0.01953501999062885,0.9804639835135632,9.964958079209002e-07]",1
30,benjamin,0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334,"[0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334]",-0.19170070771902106,1.0462223509924413,"[-0.19170070771902106,1.0462223509924413]","[0.005790659273498072,0.9942093407265017,2.437485899373612e-16]",1
31,blaz02,0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334,"[0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334]",-0.19170070771902106,1.0462223509924413,"[-0.19170070771902106,1.0462223509924413]","[0.005790659273498072,0.9942093407265017,2.437485899373612e-16]",1
32,Bojan1825,0.04166666666666666,1.0,0.6666666666666666,0.3333333333333333,"[0.04166666666666666,1.0,0.6666666666666666,0.3333333333333333]",0.5547516377073984,0.7846638898578306,"[0.5547516377073984,0.7846638898578306]","[0.03130739533958762,0.9686925990669604,5.593451962284411e-09]",1
33,BORIS MREVLJE,0.25,1.0,0.0,0.0,"[0.25,1.0,0.0,0.0]",0.0575847729734707,0.22990980287584645,"[0.0575847729734707,0.22990980287584645]","[0.007393442192632316,1.278571338948399e-16,0.9926065578073675]",2
34,Bo��tjan M.,0.013888888888888895,1.0,0.7142857142857143,0.0,"[0.013888888888888895,1.0,0.7142857142857143,0.0]",0.7375004953237752,0.5079816890840172,"[0.7375004953237752,0.5079816890840172]","[0.02422458978524765,4.036222626845523e-08,0.9757753698525261]",2
35,BostjanH,0.1875,0.9166666666666666,0.0,0.0,"[0.1875,0.9166666666666666,0.0,0.0]",0.06678161267314645,0.20784232835384633,"[0.06678161267314645,0.20784232835384633]","[0.004485944512601311,1.1595031519202608e-16,0.9955140554873986]",2
36,Bo��tjanK,0.006944444444444438,1.0,0.6153846153846154,0.0,"[0.006944444444444438,1.0,0.6153846153846154,0.0]",0.6566720536641846,0.46671279122762827,"[0.6566720536641846,0.46671279122762827]","[0.05146380862733669,6.725149429079961e-15,0.9485361913726567]",2
37,Branklo,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]",0.6628321960342038,0.7444638579981329,"[0.6628321960342038,0.7444638579981329]","[0.012883691701760052,0.9870892166249075,2.7091673332544498e-05]",1
38,BrunoB,0.02380952380952382,0.875,0.6666666666666666,0.2222222222222222,"[0.02380952380952382,0.875,0.6666666666666666,0.2222222222222222]",0.587514290730246,0.6587332683674856,"[0.587514290730246,0.6587332683674856]","[0.7655549644629012,0.2207952199453483,0.013649815591750524]",0
39,Buda,0.16666666666666666,0.4,0.3333333333333333,0.6666666666666666,"[0.16666666666666666,0.4,0.3333333333333333,0.6666666666666666]",0.014168534503890773,0.8228353101248043,"[0.014168534503890773,0.8228353101248043]","[0.9991758034938908,0.0008241965061087697,4.822167887302157e-16]",0
40,Buki,0.0,1.0,0.8,0.0,"[0.0,1.0,0.8,0.0]",0.8142385841351348,0.5423585345135443,"[0.8142385841351348,0.5423585345135443]","[0.009247242593109785,0.0007175325219862397,0.9900352248849039]",2
