,users,intensityNormalized,order,freq,pcaInput,_1,_2,features,prediction
77,4f3771bf-0850-3813-5de9-d0592e66,0.3333333333333333,0.75,0.0,"[0.3333333333333333,0.75,0.0]",0.05551361884885128,0.8106595142948967,"[0.05551361884885128,0.8106595142948967]",1
78,502b50b6-08fa-b922-9bb6-dbd4d848,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]",0.12004638577644117,1.0455507821257528,"[0.12004638577644117,1.0455507821257528]",1
79,53cb26b0-7222-8eb4-ef0d-29e7a801,0.3333333333333333,0.25,0.2,"[0.3333333333333333,0.25,0.2]",0.10100603381521187,0.3154834844265695,"[0.10100603381521187,0.3154834844265695]",0
80,5409088d-b542-9cac-7fac-9ab00271,0.25,0.7272727272727273,0.25,"[0.25,0.7272727272727273,0.25]",0.30236561018402086,0.7310674672150593,"[0.30236561018402086,0.7310674672150593]",0
81,5414140f-2888-40b9-e1e2-7984f327,0.25,1.0,0.0,"[0.25,1.0,0.0]",0.15456755625992075,1.019054354425171,"[0.15456755625992075,1.019054354425171]",1
82,54e1c86d-b289-f693-e3a3-5d393778,0.016666666666666663,0.8,0.8333333333333334,"[0.016666666666666663,0.8,0.8333333333333334]",0.9269254068280098,0.6511451167379614,"[0.9269254068280098,0.6511451167379614]",2
83,554558f4-55fd-07df-ddb3-309239ad,0.027777777777777773,1.0,0.25,"[0.027777777777777773,1.0,0.25]",0.4648214469094584,0.916655346132017,"[0.4648214469094584,0.916655346132017]",1
84,56a4a9a0-7ab4-0a76-0621-b118321b,0.25,1.0,0.0,"[0.25,1.0,0.0]",0.15456755625992075,1.019054354425171,"[0.15456755625992075,1.019054354425171]",1
85,57b97824-05f2-21af-72f1-95f7d697,0.13888888888888887,0.5714285714285714,0.125,"[0.13888888888888887,0.5714285714285714,0.125]",0.19906690113739267,0.5651841054256976,"[0.19906690113739267,0.5651841054256976]",0
86,5bfa22fd-175f-02d2-c446-36369a81,0.14583333333333334,0.1,0.0,"[0.14583333333333334,0.1,0.0]",-0.034598941575053346,0.140325255608361,"[-0.034598941575053346,0.140325255608361]",0
87,5d557ed3-ce5e-24e4-a66e-aa966d6c,0.027777777777777773,0.6666666666666666,0.5,"[0.027777777777777773,0.6666666666666666,0.5]",0.5969751936995973,0.5717251212659402,"[0.5969751936995973,0.5717251212659402]",2
88,5e97ad83-2b2c-529e-f831-deac0066,0.125,0.5,0.2,"[0.125,0.5,0.2]",0.25184172695150076,0.48413368300597065,"[0.25184172695150076,0.48413368300597065]",0
89,5fad3306-616d-9b57-3411-75efa34d,0.08333333333333333,0.6,0.3333333333333333,"[0.08333333333333333,0.6,0.3333333333333333]",0.41128738484530336,0.5479129801502789,"[0.41128738484530336,0.5479129801502789]",0
90,600fadb1-9f64-3bf4-b14c-378c45ae,0.03125,0.9,0.4545454545454545,"[0.03125,0.9,0.4545454545454545]",0.6160951329660649,0.7978322377455852,"[0.6160951329660649,0.7978322377455852]",2
91,6408c27b-ab13-d145-5b44-24f30202,0.25,1.0,0.25,"[0.25,1.0,0.25]",0.3727649922868462,0.9873124866669024,"[0.3727649922868462,0.9873124866669024]",1
92,6613f3e0-2e08-24f1-52ba-bfab8807,0.6666666666666666,0.125,0.1111111111111111,"[0.6666666666666666,0.125,0.1111111111111111]",-0.14692634216985273,0.31530955873863153,"[-0.14692634216985273,0.31530955873863153]",0
93,6809fd15-56b5-3424-e33d-88eb107c,0.3333333333333333,0.25,0.2,"[0.3333333333333333,0.25,0.2]",0.10100603381521187,0.3154834844265695,"[0.10100603381521187,0.3154834844265695]",0
94,6a9b69a1-5f2e-6aea-63d9-0e9d77c1,0.013888888888888895,1.0,0.8571428571428571,"[0.013888888888888895,1.0,0.8571428571428571]",1.0004830342459048,0.8351518817213632,"[1.0004830342459048,0.8351518817213632]",2
95,6c86b1d0-fd95-c414-78d2-9495251b,0.02083333333333333,0.75,0.8,"[0.02083333333333333,0.75,0.8]",0.8831998034480611,0.6097239335912549,"[0.8831998034480611,0.6097239335912549]",2
96,6e25573c-8b7b-a2e7-a782-480ddb63,0.027777777777777773,0.3333333333333333,0.25,"[0.027777777777777773,0.3333333333333333,0.25]",0.2927340684358854,0.2902786319164004,"[0.2927340684358854,0.2902786319164004]",0
97,6f168bc8-c816-a359-ba88-da8c663d,0.25,0.7142857142857143,0.125,"[0.25,0.7142857142857143,0.125]",0.18991454064185218,0.7347362573107725,"[0.18991454064185218,0.7347362573107725]",0
98,6f359ebe-9f0a-2bae-a27a-c4ec1712,0.08333333333333333,1.0,0.5,"[0.08333333333333333,1.0,0.5]",0.6600047692807308,0.9025777635074699,"[0.6600047692807308,0.9025777635074699]",2
99,6f99bc0c-a871-5dd6-80cb-22296ada,0.25,1.0,0.0,"[0.25,1.0,0.0]",0.15456755625992075,1.019054354425171,"[0.15456755625992075,1.019054354425171]",1
100,70eacff4-a340-e4fd-746a-807b58c3,0.25,1.0,0.16666666666666666,"[0.25,1.0,0.16666666666666666]",0.30003251361120437,0.9978931092529919,"[0.30003251361120437,0.9978931092529919]",1
101,74105285-3bd1-71b2-bb2b-df56e6f7,0.08333333333333333,1.0,0.25,"[0.08333333333333333,1.0,0.25]",0.4418073332538054,0.9343196312657384,"[0.4418073332538054,0.9343196312657384]",1
102,74df8aff-e884-bc0d-7710-a23afc0d,0.3333333333333333,0.75,0.0,"[0.3333333333333333,0.75,0.0]",0.05551361884885128,0.8106595142948967,"[0.05551361884885128,0.8106595142948967]",1
103,7550652e-a184-e590-1205-03d91e86,0.0,1.0,1.0,"[0.0,1.0,1.0]",1.1309208118180614,0.8125976002903509,"[1.1309208118180614,0.8125976002903509]",2
104,755f4b52-e48e-eda7-42c0-2dabd3cf,0.016666666666666663,0.6,0.3333333333333333,"[0.016666666666666663,0.6,0.3333333333333333]",0.43890432123208706,0.5267158379898133,"[0.43890432123208706,0.5267158379898133]",0
105,75bece44-7ed0-9de1-f411-854abe3b,0.027777777777777773,0.6666666666666666,0.5,"[0.027777777777777773,0.6666666666666666,0.5]",0.5969751936995973,0.5717251212659402,"[0.5969751936995973,0.5717251212659402]",2
106,77d5ac07-0cfc-ac01-e741-58dae777,0.05000000000000001,0.2857142857142857,0.0,"[0.05000000000000001,0.2857142857142857,0.0]",0.05303903134144354,0.28434501985561345,"[0.05303903134144354,0.28434501985561345]",0
107,78928b9d-af19-1353-e439-c5b1d36f,0.3333333333333333,0.5,0.2,"[0.3333333333333333,0.5,0.2]",0.16553880074280175,0.5503747522574257,"[0.16553880074280175,0.5503747522574257]",0
108,78f08216-f3b9-62f6-7676-e8f9b3e2,0.05555555555555556,0.5,0.2,"[0.05555555555555556,0.5,0.2]",0.28060936902106703,0.462053326588819,"[0.28060936902106703,0.462053326588819]",0
109,7b7820c3-5040-cdf4-4448-bacd9426,0.6666666666666666,0.625,0.1111111111111111,"[0.6666666666666666,0.625,0.1111111111111111]",-0.017860808314672946,0.785092094400344,"[-0.017860808314672946,0.785092094400344]",1
110,7c6856f2-bacb-4be2-61d0-ba4bf284,0.02083333333333333,0.75,0.8,"[0.02083333333333333,0.75,0.8]",0.8831998034480611,0.6097239335912549,"[0.8831998034480611,0.6097239335912549]",2
111,7d0acedd-f795-6e39-b508-3eea42ac,0.0,0.8333333333333334,0.7142857142857143,"[0.0,0.8333333333333334,0.7142857142857143]",0.8385304688831818,0.6922798420316107,"[0.8385304688831818,0.6922798420316107]",2
112,80e6c3aa-f56c-4679-d623-79d6fd2d,0.0,0.3333333333333333,0.25,"[0.0,0.3333333333333333,0.25]",0.30424112526371194,0.28144648934953975,"[0.30424112526371194,0.28144648934953975]",0
113,85d4f155-5a13-7eb1-4d96-5c0b6e30,0.4583333333333333,0.9166666666666666,0.07692307692307693,"[0.4583333333333333,0.9166666666666666,0.07692307692307693]",0.1138913803656945,0.9972316058586681,"[0.1138913803656945,0.9972316058586681]",1
114,8a2e2082-7444-5533-6931-1b05fd88,0.20833333333333331,0.8333333333333334,0.14285714285714285,"[0.20833333333333331,0.8333333333333334,0.14285714285714285]",0.2534905460415104,0.8310737518733937,"[0.2534905460415104,0.8310737518733937]",1
115,8a68d73e-17f5-4571-ef15-e1d03878,0.3333333333333333,1.0,0.1,"[0.3333333333333333,1.0,0.1]",0.20732536018721134,1.0328540350224453,"[0.20732536018721134,1.0328540350224453]",1
116,8a6d88da-00af-01eb-e85b-db817e28,0.13888888888888887,0.5714285714285714,0.25,"[0.13888888888888887,0.5714285714285714,0.25]",0.3081656191508554,0.5493131715465633,"[0.3081656191508554,0.5493131715465633]",0
117,8ae29d55-64a1-1cf2-962b-4a35e380,0.125,0.5555555555555556,0.1,"[0.125,0.5555555555555556,0.1]",0.1789033674135283,0.549028489627246,"[0.1789033674135283,0.549028489627246]",0
118,8c7bdf99-8cda-02c4-7ccf-ad45ef8a,0.4583333333333333,0.9166666666666666,0.0,"[0.4583333333333333,0.9166666666666666,0.0]",0.04675370774202514,1.0069983343996738,"[0.04675370774202514,1.0069983343996738]",1
119,8cedbb4b-6088-0b3c-fc04-ad8ce093,0.2916666666666667,1.0,0.1111111111111111,"[0.2916666666666667,1.0,0.1111111111111111]",0.23428360925237002,1.0181950714940091,"[0.23428360925237002,1.0181950714940091]",1
120,8f38fcd5-8798-9850-2359-5268418e,0.08333333333333333,1.0,0.125,"[0.08333333333333333,1.0,0.125]",0.3327086152403427,0.9501905651448725,"[0.3327086152403427,0.9501905651448725]",1
121,9187a2a4-6ffb-f4f5-f012-df8a1141,0.0,1.0,0.75,"[0.0,1.0,0.75]",0.9127233757911358,0.8443394680486194,"[0.9127233757911358,0.8443394680486194]",2
122,92d86eda-129e-0d8c-0a73-835acef9,0.25,1.0,0.0,"[0.25,1.0,0.0]",0.15456755625992075,1.019054354425171,"[0.15456755625992075,1.019054354425171]",1
123,9627fef7-14c0-4a88-0954-9cf43b68,0.2916666666666667,1.0,0.1111111111111111,"[0.2916666666666667,1.0,0.1111111111111111]",0.23428360925237002,1.0181950714940091,"[0.23428360925237002,1.0181950714940091]",1
124,97372a43-0a6d-3145-e63f-0202242e,0.16666666666666666,0.8,0.16666666666666666,"[0.16666666666666666,0.8,0.16666666666666666]",0.2829274705526121,0.783483667287725,"[0.2829274705526121,0.783483667287725]",1
125,97f93288-c344-0f1f-19c0-14aff5aa,0.02380952380952382,0.75,0.6666666666666666,"[0.02380952380952382,0.75,0.6666666666666666]",0.7655949386211957,0.6275992307183046,"[0.7655949386211957,0.6275992307183046]",2
126,98599cc0-703a-b3be-34dc-7bcf7e6a,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",0.12558159233946506,1.1091691313483647,"[0.12558159233946506,1.1091691313483647]",1
127,987749e2-fc0f-96db-2aa7-7df33e6d,0.08333333333333333,0.3333333333333333,0.5,"[0.08333333333333333,0.3333333333333333,0.5]",0.4879173908071578,0.2762010492918533,"[0.4879173908071578,0.2762010492918533]",0
128,991dbd0d-8c68-1ed6-f469-0348585f,0.0,1.0,0.8571428571428571,"[0.0,1.0,0.8571428571428571]",1.0062365626598182,0.8307358104379329,"[1.0062365626598182,0.8307358104379329]",2
129,9946a658-3dc0-f680-6e04-89182b0f,0.16666666666666666,0.8,0.16666666666666666,"[0.16666666666666666,0.8,0.16666666666666666]",0.2829274705526121,0.783483667287725,"[0.2829274705526121,0.783483667287725]",1
130,999f9f91-e880-70f1-00d3-e8994609,0.05000000000000001,0.8571428571428571,0.375,"[0.05000000000000001,0.8571428571428571,0.375]",0.5278386526448943,0.7736265446887391,"[0.5278386526448943,0.7736265446887391]",1
131,99d9bce0-1f7d-da02-6d84-afe0122e,0.20833333333333331,0.6666666666666666,0.14285714285714285,"[0.20833333333333331,0.6666666666666666,0.14285714285714285]",0.21046870142311713,0.6744795733194895,"[0.21046870142311713,0.6744795733194895]",0
132,9c5c43e2-3def-6e8f-844e-4ee72d08,0.05000000000000001,1.0,0.0,"[0.05000000000000001,1.0,0.0]",0.23741836542027178,0.9554629279437741,"[0.23741836542027178,0.9554629279437741]",1
