,users,followingRatio,order,freq,features,probability,prediction
28,noordung,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
29,p2035e,0.5,1.0,0.0,"[0.5,1.0,0.0]","[7.819348164250182e-21,1.036117487810019e-08,3.7032749780947766e-22,0.9999999896388251]",3
30,Paval,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[6.7930068133485e-17,0.9999999999999998,6.79300681282703e-17,6.79300681282703e-17]",1
31,poppy,0.25,0.9166666666666666,0.0,"[0.25,0.9166666666666666,0.0]","[6.328928137349502e-17,0.9999999999999998,6.328878685641077e-17,6.328878685641077e-17]",1
32,roman113,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
33,Safet,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[6.7930068133485e-17,0.9999999999999998,6.79300681282703e-17,6.79300681282703e-17]",1
34,Spasic Vladimir,0.3333333333333333,1.0,0.0,"[0.3333333333333333,1.0,0.0]","[6.7930068133485e-17,0.9999999999999998,6.79300681282703e-17,6.79300681282703e-17]",1
35,stinfio,0.2,0.9166666666666666,0.0,"[0.2,0.9166666666666666,0.0]","[1.7634227496688114e-16,0.9999999999999994,1.7634227466388516e-16,1.7634227466388516e-16]",1
36,Tone,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[1.0202625827974472e-27,1.0202621251977039e-27,1.0,1.0202621251977039e-27]",2
37,Toni Petkovic,0.16666666666666666,1.0,0.0,"[0.16666666666666666,1.0,0.0]","[3.057822213598413e-16,0.9999999999999991,3.057822213598413e-16,3.057822213598413e-16]",1
38,Valentin,0.5,0.9166666666666666,0.0,"[0.5,0.9166666666666666,0.0]","[1.776530208635987e-13,1.8560621603427352e-08,2.5136153455598326e-22,0.9999999814392008]",3
39,Vanda,0.5,0.75,0.0,"[0.5,0.75,0.0]","[2.530990628738226e-06,6.268142197668184e-10,2.4071321488755552e-21,0.9999974683825571]",3
40,varga,0.19999999999999998,1.0,0.0,"[0.19999999999999998,1.0,0.0]","[1.2155840361937673e-16,0.9999999999999997,1.2155840361937673e-16,1.2155840361937673e-16]",1
41,Vedran Nikolic,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.0,4.974924441949161e-17,4.9749244419491553e-17,4.9749244419491553e-17]",0
42,��S,1.0,0.6666666666666666,0.0,"[1.0,0.6666666666666666,0.0]","[1.0202625827974472e-27,1.0202621251977039e-27,1.0,1.0202621251977039e-27]",2
