,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
10,Dra��en Kralj,0.3333333333333333,0.9090909090909092,0.0,"[0.3333333333333333,0.9090909090909092,0.0]",-0.3616669728804096,0.8981950750423696,"[-0.3616669728804096,0.8981950750423696]","[6.299048527813182e-17,1.0]",1
11,Gaja,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
12,Hrvoje Petek,0.3333333333333333,0.9090909090909092,0.0,"[0.3333333333333333,0.9090909090909092,0.0]",-0.3616669728804096,0.8981950750423696,"[-0.3616669728804096,0.8981950750423696]","[6.299048527813182e-17,1.0]",1
13,Ivana Kozina,0.3333333333333333,0.9166666666666666,0.0,"[0.3333333333333333,0.9166666666666666,0.0]",-0.3619044516661457,0.9057671095558258,"[-0.3619044516661457,0.9057671095558258]","[5.819762122122763e-17,1.0]",1
14,Jelenaa,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]",-0.5282517321764486,0.8929705417561755,"[-0.5282517321764486,0.8929705417561755]","[4.3054619117280564e-17,1.0]",1
15,Jolanda,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
16,Katja De Faveri,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
17,Kopacin,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
18,Ksenija,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
19,Lejla,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.0308557554933988,0.9681613560590688,"[-1.0308557554933988,0.9681613560590688]","[0.9999999999923521,7.64794261708717e-12]",0
