,users,intensityNormalized,order,freq,features,prediction
56,Danilo4783,0.2222222222222222,1.0,0.09090909090909093,"[0.2222222222222222,1.0,0.09090909090909093]",3
57,Dario,0.16666666666666666,1.0,0.2222222222222222,"[0.16666666666666666,1.0,0.2222222222222222]",3
58,DarioR,0.11111111111111112,1.0,0.14285714285714285,"[0.11111111111111112,1.0,0.14285714285714285]",3
59,Darko Babic,0.025000000000000005,1.0,0.6923076923076923,"[0.025000000000000005,1.0,0.6923076923076923]",0
60,David Sirk,0.2222222222222222,1.0,0.0,"[0.2222222222222222,1.0,0.0]",3
61,Dejan Adamic,0.025000000000000005,0.5833333333333334,0.6153846153846154,"[0.025000000000000005,0.5833333333333334,0.6153846153846154]",2
62,DejanJ,0.006944444444444438,0.9166666666666666,0.8461538461538461,"[0.006944444444444438,0.9166666666666666,0.8461538461538461]",0
63,delimir,0.2222222222222222,0.8,0.0,"[0.2222222222222222,0.8,0.0]",3
64,demirel,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]",2
65,Deni Oreb,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]",1
66,Dimen,0.05555555555555556,0.75,0.4,"[0.05555555555555556,0.75,0.4]",2
67,dkervina,0.08333333333333333,1.0,0.5,"[0.08333333333333333,1.0,0.5]",0
68,dmeic,0.13333333333333333,0.8333333333333334,0.3076923076923077,"[0.13333333333333333,0.8333333333333334,0.3076923076923077]",3
69,Domen S,0.0,1.0,0.9166666666666666,"[0.0,1.0,0.9166666666666666]",0
70,Dorsi,0.125,1.0,0.4,"[0.125,1.0,0.4]",3
71,dragana,0.11111111111111112,0.5,0.42857142857142855,"[0.11111111111111112,0.5,0.42857142857142855]",2
72,Dra��en,0.04166666666666666,0.875,0.5555555555555556,"[0.04166666666666666,0.875,0.5555555555555556]",0
73,Dra��en Kralj,0.25,0.9090909090909092,0.0,"[0.25,0.9090909090909092,0.0]",3
74,drejc,0.03125,0.7,0.18181818181818185,"[0.03125,0.7,0.18181818181818185]",2
75,Du��i,0.13888888888888887,1.0,0.125,"[0.13888888888888887,1.0,0.125]",3
76,Edvard,0.010416666666666666,1.0,0.7777777777777778,"[0.010416666666666666,1.0,0.7777777777777778]",0
77,Efa i Neno,0.052083333333333336,0.75,0.38461538461538464,"[0.052083333333333336,0.75,0.38461538461538464]",2
78,Elena Nikolovska,0.25,1.0,0.125,"[0.25,1.0,0.125]",3
79,Ferijan Perkovic,0.04166666666666666,0.875,0.5555555555555556,"[0.04166666666666666,0.875,0.5555555555555556]",0
80,filip mestrovic,0.033333333333333326,1.0,0.7142857142857143,"[0.033333333333333326,1.0,0.7142857142857143]",0
81,Gaja,0.25,1.0,0.0,"[0.25,1.0,0.0]",3
82,Gasper,0.0625,0.6666666666666666,0.42857142857142855,"[0.0625,0.6666666666666666,0.42857142857142855]",2
83,gcampa,0.04166666666666666,1.0,0.4166666666666667,"[0.04166666666666666,1.0,0.4166666666666667]",0
84,GITA MARINKOVIC,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]",2
85,Goran Cacic,0.08333333333333333,1.0,0.08333333333333333,"[0.08333333333333333,1.0,0.08333333333333333]",3
86,Goran ��urica,0.0972222222222222,0.9166666666666666,0.3076923076923077,"[0.0972222222222222,0.9166666666666666,0.3076923076923077]",3
87,Gordan,0.1875,0.9166666666666666,0.07692307692307693,"[0.1875,0.9166666666666666,0.07692307692307693]",3
88,Gordana Genc,0.010416666666666666,1.0,0.8888888888888888,"[0.010416666666666666,1.0,0.8888888888888888]",0
89,gpet,0.016666666666666663,0.9090909090909092,0.8333333333333334,"[0.016666666666666663,0.9090909090909092,0.8333333333333334]",0
90,Gregor Primc,0.016666666666666663,1.0,0.4166666666666667,"[0.016666666666666663,1.0,0.4166666666666667]",0
91,greta,0.0625,0.6666666666666666,0.2857142857142857,"[0.0625,0.6666666666666666,0.2857142857142857]",2
92,Grozdana Sirotic,0.027777777777777773,1.0,0.5,"[0.027777777777777773,1.0,0.5]",0
93,Grup amor,0.04166666666666666,0.875,0.1111111111111111,"[0.04166666666666666,0.875,0.1111111111111111]",3
