,users,catchingUpRatio,order,freq,ordinary-late,pcaInput,_1,_2,features,probability,prediction
22,3681eecc-7864-c1c1-0024-4d4234be,0.9,1.0,0.1,ordinary,"[0.9,1.0,0.1]",-0.6862921149517786,0.9985762453017486,"[-0.6862921149517786,0.9985762453017486]","[0.007062474322153381,2.006502238846768e-05,0.9929174606554582]",2
23,37ada581-75c2-560e-2eb3-3db3a231,0.8,0.5,0.2,ordinary,"[0.8,0.5,0.2]",-0.5647820606932134,0.49353543433566766,"[-0.5647820606932134,0.49353543433566766]","[0.9029844888091293,0.09701551119087064,1.5426823733425528e-16]",0
24,37d73652-37e1-cc5f-6c84-3b9a528c,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]",0.3140022569057689,0.7569569227770879,"[0.3140022569057689,0.7569569227770879]","[3.292732104950605e-15,0.9999999999999963,4.631697810246144e-16]",1
25,380773a6-f975-22c8-187e-e40fe702,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]",0.19541560364193428,0.6285625411599866,"[0.19541560364193428,0.6285625411599866]","[1.3850572649700417e-11,0.9999999999861492,2.7564095040003265e-16]",1
26,3c370e25-1bd5-c34b-ec40-31117752,0.75,0.3333333333333333,0.25,ordinary,"[0.75,0.3333333333333333,0.25]",-0.5014015373949869,0.3242365021994204,"[-0.5014015373949869,0.3242365021994204]","[0.898150062353692,0.10184993764630773,2.3513006975302286e-16]",0
27,3d524e1d-934c-6d53-022b-983c91c3,0.2,1.0,0.4,ordinary,"[0.2,1.0,0.4]",0.06752141896544275,0.9791881182355643,"[0.06752141896544275,0.9791881182355643]","[2.7324292104771916e-09,0.13714271273132997,0.8628572845362408]",2
28,3d7d0f75-dda5-644d-e527-018ff340,0.09090909090909091,0.7,0.09090909090909093,ordinary,"[0.09090909090909091,0.7,0.09090909090909093]",-0.008626912888177823,0.6948914091310533,"[-0.008626912888177823,0.6948914091310533]","[8.362281479346488e-07,0.999999163771852,1.2567073029199617e-16]",1
29,3dc06a27-afe4-b105-1f3c-997851c7,0.7272727272727273,0.7,0.18181818181818185,ordinary,"[0.7272727272727273,0.7,0.18181818181818185]",-0.5057049573689407,0.6937936436175253,"[-0.5057049573689407,0.6937936436175253]","[0.8502428130179085,0.14975718698209126,1.8301812685415354e-16]",0
30,3fc2e2fe-697a-3255-1a17-4204819d,0.5,0.7142857142857143,0.5,ordinary,"[0.5,0.7142857142857143,0.5]",-0.14624169101352746,0.6903975960000291,"[-0.14624169101352746,0.6903975960000291]","[0.00035238999868171967,0.9996476100013182,1.371581994652787e-16]",1
31,4196e8ee-e405-a1e1-4a7f-7d9149a5,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",-0.48039756804343503,0.9900082889737666,"[-0.48039756804343503,0.9900082889737666]","[0.009304758307664621,0.0003796118990017662,0.9903156297933337]",2
