,users,followingRatio,order,freq,pcaInput,_1,_2,prediction
41,2f7f0e40-1234-75db-2bcf-bdfbdfbc,0.16666666666666666,1.0,1.0,"[0.16666666666666666,1.0,1.0]",0.7409097838479218,1.1348126040339184,2
42,31a88be4-13ad-06c2-119c-3551a490,0.5,1.0,0.1,"[0.5,1.0,0.1]",-0.12232204431440298,1.1156663409945327,0
43,3244a4c0-3f85-3017-5694-2f5647cb,0.14285714285714285,0.8333333333333334,0.8571428571428571,"[0.14285714285714285,0.8333333333333334,0.8571428571428571]",0.631368657610924,0.9508106874119694,2
44,3447bacb-f54d-55c2-592f-3a3ff765,0.5,1.0,0.25,"[0.5,1.0,0.25]",-0.01708855130791606,1.1389609128878357,0
45,34a3d1d8-74eb-8a4e-0506-b9ca1551,0.5,1.0,0.25,"[0.5,1.0,0.25]",-0.01708855130791606,1.1389609128878357,0
46,35813a40-7aa6-5336-237b-c93f1759,1.0,0.8571428571428571,0.0,"[1.0,0.8571428571428571,0.0]",-0.5624052399133149,1.1497533968913118,1
47,35ce5334-aefb-9a61-d1c3-7f01a776,1.0,1.0,0.125,"[1.0,1.0,0.125]",-0.4525294339984267,1.3004805221240665,1
48,35daa597-4591-5a82-57a9-1fba2635,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]",0.44960519377540864,1.1562989017052965,2
49,367365a7-8d2a-3b00-f3e3-f877be3c,0.5,0.8333333333333334,0.2857142857142857,"[0.5,0.8333333333333334,0.2857142857142857]",-0.01791105754600586,0.991306427209374,0
50,3681eecc-7864-c1c1-0024-4d4234be,1.0,1.0,0.1,"[1.0,1.0,0.1]",-0.4700683494995079,1.2965980934751828,1
51,36a67ef1-5f22-7846-3f95-faec67c9,0.25,1.0,1.0,"[0.25,1.0,1.0]",0.682952066317071,1.1649678961140266,2
52,37ada581-75c2-560e-2eb3-3db3a231,1.0,0.5,0.2,"[1.0,0.5,0.2]",-0.47754698692837183,0.8525253711115446,1
53,37d73652-37e1-cc5f-6c84-3b9a528c,0.19999999999999998,0.8,0.8333333333333334,"[0.19999999999999998,0.8,0.8333333333333334]",0.569746873721765,0.9371508884230665,2
54,380773a6-f975-22c8-187e-e40fe702,0.3333333333333333,0.6666666666666666,0.75,"[0.3333333333333333,0.6666666666666666,0.75]",0.3978489941532829,0.8498972770658473,2
55,3be7d5a2-f78e-3472-e5ac-fa27ed08,0.5,0.4,0.0,"[0.5,0.4,0.0]",-0.28563886563855395,0.548613702047989,3
56,3c370e25-1bd5-c34b-ec40-31117752,1.0,0.3333333333333333,0.25,"[1.0,0.3333333333333333,0.25]",-0.4683472557372724,0.7070894160895878,3
57,3d524e1d-934c-6d53-022b-983c91c3,0.33333333333333337,1.0,0.4,"[0.33333333333333337,1.0,0.4]",0.20406037676027247,1.1019449006209223,0
58,3d7d0f75-dda5-644d-e527-018ff340,0.25,0.7,0.09090909090909093,"[0.25,0.7,0.09090909090909093]",-0.001407258836702327,0.7480272103427456,0
59,3dc06a27-afe4-b105-1f3c-997851c7,0.3333333333333333,0.7,0.18181818181818185,"[0.3333333333333333,0.7,0.18181818181818185]",0.004412898181832894,0.7923004247824317,0
