,users,intensityNormalized,order,freq,features,probability,prediction
12,AnaPetar,0.25,1.0,0.25,"[0.25,1.0,0.25]","[9.316825662289022e-09,1.620490390853981e-23,0.9999999832635182,7.419656200353988e-09]",2
13,AnBn,0.05952380952380953,1.0,0.5,"[0.05952380952380953,1.0,0.5]","[3.286052955060983e-09,5.0313612733423586e-08,0.9999999448432081,1.5571261665198424e-09]",2
14,Ando Saina,0.0,1.0,1.0,"[0.0,1.0,1.0]","[3.2508083021731607e-15,4.979569802177144e-07,0.9999995020430146,1.9457307271348083e-15]",2
15,Andra�� ��unkar,0.018518518518518528,0.9,0.8181818181818182,"[0.018518518518518528,0.9,0.8181818181818182]","[3.0322853346730293e-05,0.9999679666030111,1.6440411047684864e-17,1.7105436421741744e-06]",1
16,andrea vlastelica,0.05952380952380953,0.7272727272727273,0.5,"[0.05952380952380953,0.7272727272727273,0.5]","[0.0016410516420612162,0.994983565576498,7.420212472377839e-18,0.003375382781440756]",1
17,andrea zavorovic,0.13888888888888887,0.2857142857142857,0.125,"[0.13888888888888887,0.2857142857142857,0.125]","[7.683116281181653e-16,0.026201550322915015,7.683116280886178e-16,0.9737984496770835]",3
18,Andrej_A,0.2222222222222222,0.9,0.2727272727272727,"[0.2222222222222222,0.9,0.2727272727272727]","[0.9311997538555148,1.5912939609295793e-16,7.302115018508667e-17,0.06880024614448485]",0
19,Andro Zuanic,0.08333333333333333,0.6666666666666666,0.5,"[0.08333333333333333,0.6666666666666666,0.5]","[0.00013143368277428457,0.9790201016877025,4.376613281309667e-17,0.020848464629523295]",1
20,andrzej,0.027777777777777773,0.6666666666666666,0.5,"[0.027777777777777773,0.6666666666666666,0.5]","[7.897895870247265e-05,0.9930883687095886,1.2298464320083177e-17,0.006832652331709059]",1
21,ane,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]","[1.2426663703721035e-16,1.890239231003414e-21,0.9999999271002756,7.289972415509964e-08]",2
22,Anela,0.08333333333333333,0.6666666666666666,0.25,"[0.08333333333333333,0.6666666666666666,0.25]","[0.0016298937503153896,0.9383045628446537,2.5079979680091536e-17,0.06006554340503086]",1
