,users,catchingUpRatio,order,freq,ordinary-late,features,probability,prediction
37,4c4ac589-35f5-76e3-d0a3-fedab6c6,0.25,0.7142857142857143,0.5,ordinary,"[0.25,0.7142857142857143,0.5]","[0.01795211908006588,0.9778298647776442,0.004218016142289851,2.444163571172691e-17]",1
38,4cc576c8-f218-94be-fef3-4b6fd86e,0.3076923076923077,0.8333333333333334,0.3076923076923077,ordinary,"[0.3076923076923077,0.8333333333333334,0.3076923076923077]","[0.09195316540030926,0.00014427487890506495,0.9079025597051449,1.5640798234461684e-11]",2
39,53cb26b0-7222-8eb4-ef0d-29e7a801,0.8,0.25,0.2,ordinary,"[0.8,0.25,0.2]","[0.9620737410237513,3.0026634731063314e-15,0.03792205408645352,4.204889792337174e-06]",0
40,5409088d-b542-9cac-7fac-9ab00271,0.75,0.7272727272727273,0.25,ordinary,"[0.75,0.7272727272727273,0.25]","[0.3893175649201488,2.6579857400572283e-16,0.6106802322800363,2.2027998145768907e-06]",2
41,54e1c86d-b289-f693-e3a3-5d393778,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]","[0.9999999999991375,5.560388490851847e-15,8.514842576334348e-13,5.505984490674813e-15]",0
42,57b97824-05f2-21af-72f1-95f7d697,0.5,0.5714285714285714,0.125,ordinary,"[0.5,0.5714285714285714,0.125]","[0.14126905973087037,1.0936483956007619e-16,0.778985102173794,0.07974583809533564]",2
43,5d557ed3-ce5e-24e4-a66e-aa966d6c,0.25,0.6666666666666666,0.5,ordinary,"[0.25,0.6666666666666666,0.5]","[0.029608016734455053,0.9620238297568969,0.008368153508648113,4.206747202001297e-17]",1
44,5e97ad83-2b2c-529e-f831-deac0066,0.6,0.5,0.2,ordinary,"[0.6,0.5,0.2]","[0.09979384444725727,9.274373442255481e-17,0.8979792275978717,0.0022269279548709836]",2
45,5fad3306-616d-9b57-3411-75efa34d,0.3333333333333333,0.6,0.3333333333333333,ordinary,"[0.3333333333333333,0.6,0.3333333333333333]","[0.054890549913267715,1.730605928236919e-09,0.9451094483561128,1.3596291693035545e-14]",2
46,6408c27b-ab13-d145-5b44-24f30202,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]","[0.4386167740031007,4.493811403566865e-16,0.5613802229259001,3.0030709988405575e-06]",2
47,6613f3e0-2e08-24f1-52ba-bfab8807,0.8888888888888888,0.125,0.1111111111111111,ordinary,"[0.8888888888888888,0.125,0.1111111111111111]","[0.9964887897198318,8.906374167723155e-15,0.0035112101824138946,9.774540923405939e-11]",0
48,6809fd15-56b5-3424-e33d-88eb107c,0.8,0.25,0.2,ordinary,"[0.8,0.25,0.2]","[0.9620737410237513,3.0026634731063314e-15,0.03792205408645352,4.204889792337174e-06]",0
49,6a9b69a1-5f2e-6aea-63d9-0e9d77c1,0.14285714285714285,1.0,0.8571428571428571,ordinary,"[0.14285714285714285,1.0,0.8571428571428571]","[0.9999999999999598,9.05494897296492e-15,2.212725954324226e-14,9.054948972963817e-15]",0
50,6c86b1d0-fd95-c414-78d2-9495251b,0.2,0.75,0.8,ordinary,"[0.2,0.75,0.8]","[0.9999999999025816,8.065147424119157e-11,1.6762774663004526e-11,4.186759095470638e-15]",0
51,6e25573c-8b7b-a2e7-a782-480ddb63,0.25,0.3333333333333333,0.25,ordinary,"[0.25,0.3333333333333333,0.25]","[0.1428312018804639,3.5562713099019655e-16,0.8570614344273467,0.00010736369218896682]",2
52,6f168bc8-c816-a359-ba88-da8c663d,0.75,0.7142857142857143,0.125,ordinary,"[0.75,0.7142857142857143,0.125]","[0.07548134796190527,5.821606035619834e-17,0.9243870837477044,0.00013156829039019956]",2
53,6f359ebe-9f0a-2bae-a27a-c4ec1712,0.5,1.0,0.5,ordinary,"[0.5,1.0,0.5]","[0.9997034447745649,2.226512583649309e-15,0.0002965552254317883,1.1723827798779721e-15]",0
54,70eacff4-a340-e4fd-746a-807b58c3,0.4166666666666667,1.0,0.16666666666666666,ordinary,"[0.4166666666666667,1.0,0.16666666666666666]","[0.06722067978266914,6.492164566279631e-17,0.131341453840579,0.8014378663767519]",3
55,74105285-3bd1-71b2-bb2b-df56e6f7,0.5,1.0,0.25,ordinary,"[0.5,1.0,0.25]","[0.13482870737938943,1.2933616460306706e-16,0.8651429859250807,2.8306695529826977e-05]",2
56,755f4b52-e48e-eda7-42c0-2dabd3cf,0.16666666666666666,0.6,0.3333333333333333,ordinary,"[0.16666666666666666,0.6,0.3333333333333333]","[0.063442370261793,7.92251392674708e-06,0.9365497072242782,1.996450636060701e-15]",2
57,78928b9d-af19-1353-e439-c5b1d36f,0.8,0.5,0.2,ordinary,"[0.8,0.5,0.2]","[0.5709821986232889,5.98287546208131e-16,0.4289792531910306,3.8548185679943376e-05]",0
58,78f08216-f3b9-62f6-7676-e8f9b3e2,0.4,0.5,0.2,ordinary,"[0.4,0.5,0.2]","[0.07887246081194407,7.711614909813223e-17,0.8781898250526075,0.04293771413544843]",2
59,7b7820c3-5040-cdf4-4448-bacd9426,0.8888888888888888,0.625,0.1111111111111111,ordinary,"[0.8888888888888888,0.625,0.1111111111111111]","[0.2807648887405017,2.9292516975090893e-16,0.7192349569614008,1.5429809720819837e-07]",2
60,7c6856f2-bacb-4be2-61d0-ba4bf284,0.2,0.75,0.8,ordinary,"[0.2,0.75,0.8]","[0.9999999999025816,8.065147424119157e-11,1.6762774663004526e-11,4.186759095470638e-15]",0
61,85d4f155-5a13-7eb1-4d96-5c0b6e30,0.7692307692307693,0.9166666666666666,0.07692307692307693,ordinary,"[0.7692307692307693,0.9166666666666666,0.07692307692307693]","[0.07995788547099145,8.246662835299555e-17,0.9200390068487947,3.107680213764719e-06]",2
62,8a2e2082-7444-5533-6931-1b05fd88,0.5714285714285714,0.8333333333333334,0.14285714285714285,ordinary,"[0.5714285714285714,0.8333333333333334,0.14285714285714285]","[0.061880963219347364,4.266867088121116e-17,0.8486505976035189,0.08946843917713375]",2
63,8a68d73e-17f5-4571-ef15-e1d03878,0.1,1.0,0.1,ordinary,"[0.1,1.0,0.1]","[0.06936348919007498,2.306139886191944e-13,1.5031884659846248e-06,0.9306350076212284]",3
64,8a6d88da-00af-01eb-e85b-db817e28,0.5,0.5714285714285714,0.25,ordinary,"[0.5,0.5714285714285714,0.25]","[0.055667346377752114,4.403335839608278e-17,0.9443115768905056,2.1076731742133123e-05]",2
65,8ae29d55-64a1-1cf2-962b-4a35e380,0.5,0.5555555555555556,0.1,ordinary,"[0.5,0.5555555555555556,0.1]","[0.2741049026021802,2.2045500660329927e-16,0.707619905223501,0.018275192174318576]",2
66,8cedbb4b-6088-0b3c-fc04-ad8ce093,0.4444444444444444,1.0,0.1111111111111111,ordinary,"[0.4444444444444444,1.0,0.1111111111111111]","[0.09285941123046104,8.839377540391106e-17,0.06072718679258137,0.8464134019769575]",3
67,8f38fcd5-8798-9850-2359-5268418e,0.375,1.0,0.125,ordinary,"[0.375,1.0,0.125]","[0.030600590300903997,3.911752771292197e-17,0.008597903218827254,0.9608015064802687]",3
68,98599cc0-703a-b3be-34dc-7bcf7e6a,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]","[0.1345094338375012,1.9218831742501996e-16,0.8654650820582167,2.5484104282010007e-05]",2
69,987749e2-fc0f-96db-2aa7-7df33e6d,0.5,0.3333333333333333,0.5,ordinary,"[0.5,0.3333333333333333,0.5]","[0.9997208446401555,2.415590488682169e-15,0.0002791553598396251,2.4155904886431255e-15]",0
70,9946a658-3dc0-f680-6e04-89182b0f,0.16666666666666666,0.8,0.16666666666666666,ordinary,"[0.16666666666666666,0.8,0.16666666666666666]","[0.06579072863612753,3.0487685347821425e-10,0.004466712733261455,0.929742558325734]",3
71,999f9f91-e880-70f1-00d3-e8994609,0.125,0.8571428571428571,0.375,ordinary,"[0.125,0.8571428571428571,0.375]","[0.27206694486822885,0.00046554640627209377,0.7274675087254986,3.8405113117577853e-16]",2
72,99d9bce0-1f7d-da02-6d84-afe0122e,0.7142857142857143,0.6666666666666666,0.14285714285714285,ordinary,"[0.7142857142857143,0.6666666666666666,0.14285714285714285]","[0.07588856047064045,5.669387435352361e-17,0.9233962970579442,0.0007151424714152448]",2
73,9e184ea2-45e6-abdb-90a9-fb5b011b,0.25,0.5454545454545454,0.16666666666666666,ordinary,"[0.25,0.5454545454545454,0.16666666666666666]","[0.07072520567840962,7.807578860963301e-17,0.06596690527308013,0.8633078890485102]",3
74,a134cb86-69ed-3ceb-ab8b-42799b5f,0.14285714285714285,0.5,0.14285714285714285,ordinary,"[0.14285714285714285,0.5,0.14285714285714285]","[0.05836258154937364,7.124671064936324e-17,0.001790527258796642,0.9398468911918296]",3
75,a1ac05b8-d131-07d0-f419-28c0d19a,0.8461538461538461,0.08333333333333333,0.15384615384615385,ordinary,"[0.8461538461538461,0.08333333333333333,0.15384615384615385]","[0.9978745204422141,1.0807769396808271e-14,0.0021254525838057224,2.697396943852476e-08]",0
76,a7010942-2bf9-c022-3897-796a718f,0.6,0.75,0.2,ordinary,"[0.6,0.75,0.2]","[0.0490055136554861,3.185962624279506e-17,0.9471707446508895,0.003823741693624457]",2
77,a898d118-8b18-a02c-ae58-2a774d5f,0.2857142857142857,0.3333333333333333,0.14285714285714285,ordinary,"[0.2857142857142857,0.3333333333333333,0.14285714285714285]","[0.204509275097481,4.1069073105671073e-16,0.0652526323693449,0.7302380925331737]",3
78,a997f5a7-10f2-8566-1c1d-559b423c,0.6153846153846154,1.0,0.15384615384615385,ordinary,"[0.6153846153846154,1.0,0.15384615384615385]","[0.08564048394173464,8.536291659454983e-17,0.819043461706656,0.09531605435160924]",2
79,abcc36e1-adfa-f564-04d4-d632273a,0.3333333333333333,0.8,0.3333333333333333,ordinary,"[0.3333333333333333,0.8,0.3333333333333333]","[0.08963543128661432,1.7078746992185574e-05,0.9103474899663883,5.349705901947665e-15]",2
80,abda0840-539e-d7ad-7f3c-e3005350,0.42857142857142855,0.6666666666666666,0.5714285714285714,ordinary,"[0.42857142857142855,0.6666666666666666,0.5714285714285714]","[0.9999586838550569,3.8331402379765055e-08,4.1277813539675376e-05,1.10962067811832e-15]",0
81,ad50ec3a-b5fa-441c-dff6-68962309,0.75,0.0,0.25,ordinary,"[0.75,0.0,0.25]","[0.9995719583671547,1.8566740606469622e-14,0.0004280183852037625,2.3247622876104884e-08]",0
