,users,intensityNormalized,order,freq,features,probability,prediction
56,Danilo4783,0.2222222222222222,1.0,0.09090909090909093,"[0.2222222222222222,1.0,0.09090909090909093]","[1.0956361766383234e-23,1.0262211997234255e-08,8.986309392018694e-08,0.9999998998746941]",3
57,Dario,0.16666666666666666,1.0,0.2222222222222222,"[0.16666666666666666,1.0,0.2222222222222222]","[1.7745431496890112e-19,9.145582279394691e-10,7.851211973148852e-08,0.9999999205733221]",3
58,DarioR,0.11111111111111112,1.0,0.14285714285714285,"[0.11111111111111112,1.0,0.14285714285714285]","[1.473283575176484e-11,5.522584716427403e-09,1.125408554968475e-07,0.999999881921827]",3
59,Darko Babic,0.025000000000000005,1.0,0.6923076923076923,"[0.025000000000000005,1.0,0.6923076923076923]","[1.757686488806449e-07,1.2316284458736733e-21,5.661099411633739e-10,0.9999998236652411]",3
60,David Sirk,0.2222222222222222,1.0,0.0,"[0.2222222222222222,1.0,0.0]","[1.6057650400813632e-23,1.4285339990520553e-08,1.2672158061955486e-07,0.9999998589930794]",3
61,Dejan Adamic,0.025000000000000005,0.5833333333333334,0.6153846153846154,"[0.025000000000000005,0.5833333333333334,0.6153846153846154]","[0.04708230849865781,1.421440167660205e-10,0.952917691359198,1.5903920466578008e-16]",2
62,DejanJ,0.006944444444444438,0.9166666666666666,0.8461538461538461,"[0.006944444444444438,0.9166666666666666,0.8461538461538461]","[0.9999143747062845,1.1875119603247825e-17,8.562529371553993e-05,1.1874735228831514e-17]",0
63,delimir,0.2222222222222222,0.8,0.0,"[0.2222222222222222,0.8,0.0]","[6.655601701361545e-17,0.08536785280210686,0.9146321471978931,6.655596516322256e-17]",2
64,demirel,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]","[3.2762810372120757e-16,0.05198955410061961,0.9480104458993797,3.2762810372120757e-16]",2
65,Deni Oreb,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]","[1.027551675324601e-20,4.393842264477371e-07,1.027551675325716e-20,0.9999995606157737]",3
66,Dimen,0.05555555555555556,0.75,0.4,"[0.05555555555555556,0.75,0.4]","[0.7878131752565364,3.193387468774803e-06,0.21218363135599483,8.596201657532362e-18]",0
67,dkervina,0.08333333333333333,1.0,0.5,"[0.08333333333333333,1.0,0.5]","[1.7924443626110314e-09,3.011513098956374e-15,8.46398678788394e-09,0.9999999897435657]",3
68,dmeic,0.13333333333333333,0.8333333333333334,0.3076923076923077,"[0.13333333333333333,0.8333333333333334,0.3076923076923077]","[1.1680588883806833e-06,0.0005606517359739973,0.9994381802051376,3.6868322161622116e-17]",2
69,Domen S,0.0,1.0,0.9166666666666666,"[0.0,1.0,0.9166666666666666]","[3.008659834225669e-07,2.336764692205138e-23,5.429065178752428e-12,0.9999996991285875]",3
70,Dorsi,0.125,1.0,0.4,"[0.125,1.0,0.4]","[8.37952181404515e-14,9.125419186586385e-13,2.125372484409299e-08,0.9999999787452788]",3
71,dragana,0.11111111111111112,0.5,0.42857142857142855,"[0.11111111111111112,0.5,0.42857142857142855]","[3.7420522503075774e-11,1.7668067410078212e-05,0.9999823318951692,9.293417353067828e-17]",2
72,Dra��en,0.04166666666666666,0.875,0.5555555555555556,"[0.04166666666666666,0.875,0.5555555555555556]","[0.984249299958694,1.0755049706078415e-10,0.015750699933755417,5.391421090831266e-18]",0
73,Dra��en Kralj,0.25,0.9090909090909092,0.0,"[0.25,0.9090909090909092,0.0]","[9.942669350135626e-17,0.11828489258797134,0.8817151074120286,9.942669350135621e-17]",2
74,drejc,0.03125,0.7,0.18181818181818185,"[0.03125,0.7,0.18181818181818185]","[0.006098223107817921,0.04900413952070447,0.9448976373714776,1.4189313381643994e-16]",2
