,users,catchingUpRatio,order,freq,ordinary-late,pcaInput,_1,_2,features,probability,prediction
24,1beb31a1-0aea-018e-a7e1-82085ffa,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0.27969614301474444,-0.24153733373666997,"[0.27969614301474444,-0.24153733373666997]","[4.782598513843986e-18,0.9988965470606695,9.359325292130502e-09,0.0011034435800051112]",1
25,1c09a110-d9c3-2442-9f5d-aee802c0,0.75,0.6666666666666666,0.25,ordinary,"[0.75,0.6666666666666666,0.25]",-0.17185014470507332,-0.8618027916084862,"[-0.17185014470507332,-0.8618027916084862]","[7.168069980280604e-05,1.217897021484417e-16,1.217897021484417e-16,0.999928319300197]",3
26,1cb07e56-7b73-0087-0a17-3e9c1f88,0.5,0.8571428571428571,0.5,ordinary,"[0.5,0.8571428571428571,0.5]",0.2207348508933084,-0.8925207496237331,"[0.2207348508933084,-0.8925207496237331]","[0.6713050709087175,5.19090023018021e-16,5.19090023018021e-16,0.32869492909128156]",0
27,1d3ed189-1162-0dd0-bcb2-fda83a50,0.0,0.8,0.8333333333333334,ordinary,"[0.0,0.8,0.8333333333333334]",0.7734355638367223,-0.7389885694331987,"[0.7734355638367223,-0.7389885694331987]","[0.00024838398315094653,2.35410269889989e-17,0.9997443989233156,7.217093533378002e-06]",2
28,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.6,0.75,0.4,ordinary,"[0.6,0.75,0.4]",0.05504359108445178,-0.8727574108495946,"[0.05504359108445178,-0.8727574108495946]","[0.030355064072371925,2.5272091826152887e-16,2.5272091826152887e-16,0.9696449359276276]",3
29,1d90b45b-4d8d-42a1-43cd-38e1a241,0.0,0.75,0.8,ordinary,"[0.0,0.75,0.8]",0.737463610708988,-0.7050813546486107,"[0.737463610708988,-0.7050813546486107]","[5.300486439932386e-05,1.676823471805048e-16,0.9997993247675532,0.00014767036804738936]",2
30,1e81aa64-c3c9-ee4f-ce3c-c4248be0,0.0,0.0,0.0,ordinary,"(3,[],[])",0.0,0.0,"(2,[],[])","[9.065017495044112e-17,0.9999977290632719,9.065017495284386e-17,2.2709367278855506e-06]",1
31,1f7f3fd7-7087-1461-cf43-9add2172,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]",0.5067689348670256,-0.8312244852631056,"[0.5067689348670256,-0.8312244852631056]","[0.9962729316329989,1.9348781619700207e-16,1.9348781619700207e-16,0.003727068367000698]",0
32,1f96865d-62d4-b049-1788-cfccf324,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",0.9393105223246565,-0.8964477766693052,"[0.9393105223246565,-0.8964477766693052]","[0.0004318058373639979,3.0386744889995165e-18,0.9995681940639001,9.873587459958702e-11]",2
33,20e2fc85-7d0f-8a2c-b651-4b811a97,0.16666666666666666,0.4,0.3333333333333333,ordinary,"[0.16666666666666666,0.4,0.3333333333333333]",0.21547928700348754,-0.43426292374277914,"[0.21547928700348754,-0.43426292374277914]","[3.871758961120045e-16,3.871758961119985e-16,3.871758961119985e-16,0.9999999999999989]",3
34,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,0.9166666666666666,0.9090909090909092,0.08333333333333333,ordinary,"[0.9166666666666666,0.9090909090909092,0.08333333333333333]",-0.3302513789831075,-0.9305500655385635,"[-0.3302513789831075,-0.9305500655385635]","[5.238332550718019e-07,2.101233498732306e-16,2.101233498732306e-16,0.9999994761667446]",3
35,258d2e1f-e3e8-2612-8285-895fb96d,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",0.600000982538607,-0.9117369298419955,"[0.600000982538607,-0.9117369298419955]","[0.9998778990563761,2.85774483852835e-16,2.85774483852835e-16,0.000122100943623287]",0
