,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,probability,prediction
36,1f7f3fd7-7087-1461-cf43-9add2172,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",0.5952325583766206,0.3640598432222266,"[0.5952325583766206,0.3640598432222266]","[0.10323463901864136,1.622971763709092e-16,0.8967653609813585]",2
37,1f96865d-62d4-b049-1788-cfccf324,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",0.7917210252800373,0.633287723464538,"[0.7917210252800373,0.633287723464538]","[0.00034574213936498246,0.9996533035062491,9.54354385862409e-07]",1
38,20e2fc85-7d0f-8a2c-b651-4b811a97,0.4615384615384616,0.08333333333333333,0.4,"[0.4615384615384616,0.08333333333333333,0.4]",0.5342816846625653,0.0653272949804008,"[0.5342816846625653,0.0653272949804008]","[0.9999975463574109,4.1910349971187137e-16,2.453642588639638e-06]",0
39,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,0.9230769230769232,0.9166666666666666,0.9090909090909092,"[0.9230769230769232,0.9166666666666666,0.9090909090909092]",1.578113076781511,-0.13172628672240305,"[1.578113076781511,-0.13172628672240305]","[0.001991641163241513,1.842231272019516e-14,0.99800835883674]",2
40,258d2e1f-e3e8-2612-8285-895fb96d,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",0.8080140668674222,0.6204620081871342,"[0.8080140668674222,0.6204620081871342]","[0.000372154957712071,0.9996264878878497,1.3571544383235837e-06]",1
41,25a03b67-3ce1-77fc-c715-72ba385a,0.9230769230769232,0.08333333333333333,0.9090909090909092,"[0.9230769230769232,0.08333333333333333,0.9090909090909092]",1.0893218291599658,0.25304517159971,"[1.0893218291599658,0.25304517159971]","[0.05080002214619001,2.1824716686378404e-16,0.9491999778538098]",2
42,269144fa-ef0e-c81e-52ff-df9a348a,1.0,0.1875,0.8333333333333334,"[1.0,0.1875,0.8333333333333334]",1.1404054263166574,0.11269582714169346,"[1.1404054263166574,0.11269582714169346]","[0.034805482717186746,1.7159340149102023e-16,0.9651945172828131]",2
43,270174bf-baf8-aab4-48e3-139fcf47,0.3076923076923077,0.08333333333333333,0.3333333333333333,"[0.3076923076923077,0.08333333333333333,0.3333333333333333]",0.41503713306058865,0.08200624770251164,"[0.41503713306058865,0.08200624770251164]","[0.999999901686828,7.385869689928933e-16,9.831317127341065e-08]",0
44,27080783-250a-3521-f816-6e7b29cf,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]",0.8300651502319454,0.5993080306069918,"[0.8300651502319454,0.5993080306069918]","[0.0004246509099237807,0.9995725726700728,2.7764200033426964e-06]",1
45,2888b741-780e-2c51-0772-617d7c33,1.0,0.4583333333333333,0.5833333333333334,"[1.0,0.4583333333333333,0.5833333333333334]",1.1396764504255583,-0.20465652053667388,"[1.1396764504255583,-0.20465652053667388]","[0.9999310697622822,8.396135160206425e-15,6.893023770940556e-05]",0
46,2c1d08f2-a1ba-6915-db46-1a7721b9,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]",1.0255816492805636,0.44539944727814657,"[1.0255816492805636,0.44539944727814657]","[0.0007828140295332404,0.9990923738078803,0.0001248121625865203]",1
