,users,intensityNormalized,order,freq,features,probability,prediction
29,p2035e,0.125,1.0,0.0,"[0.125,1.0,0.0]","[0.9999999999986313,3.853008303874136e-23,1.3686511932261559e-12,3.853008303874136e-23]",0
30,Paval,0.2777777777777777,1.0,0.0,"[0.2777777777777777,1.0,0.0]","[0.9999999998968049,2.9025092868641567e-23,1.031951095797202e-10,2.9025092868641567e-23]",0
31,poppy,0.1875,0.9166666666666666,0.0,"[0.1875,0.9166666666666666,0.0]","[1.6121647219930984e-17,0.9993507105481947,0.0006492894518053209,1.6121647219930984e-17]",1
32,roman113,0.4166666666666667,1.0,0.0,"[0.4166666666666667,1.0,0.0]","[0.9999999999550961,2.9593793505609995e-23,4.4903894857277495e-11,2.9593793505609995e-23]",0
33,Safet,0.13888888888888887,1.0,0.0,"[0.13888888888888887,1.0,0.0]","[0.9999999999974565,3.7058567846936087e-23,2.5435604035940375e-12,3.7058567846936087e-23]",0
34,Spasic Vladimir,0.08333333333333333,1.0,0.0,"[0.08333333333333333,1.0,0.0]","[0.9999999999998376,4.39953125076646e-23,1.6243118960470647e-13,4.39953125076646e-23]",0
35,stinfio,0.13333333333333333,0.9166666666666666,0.0,"[0.13333333333333333,0.9166666666666666,0.0]","[2.6784082576221804e-17,0.9998153775872812,0.00018462241271884644,2.6784082576221804e-17]",1
36,Tone,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]","[1.8708056836638046e-16,1.8708056836638046e-16,0.9999999999999994,1.8708056836638046e-16]",2
37,Toni Petkovic,0.0972222222222222,1.0,0.0,"[0.0972222222222222,1.0,0.0]","[0.9999999999996542,4.198158513632255e-23,3.4586488014707637e-13,4.198158513632255e-23]",0
38,Valentin,0.4583333333333333,0.9166666666666666,0.0,"[0.4583333333333333,0.9166666666666666,0.0]","[6.762392296303204e-17,0.9996739504893164,0.00032604951068366465,6.762392296303204e-17]",1
39,Vanda,0.125,0.75,0.0,"[0.125,0.75,0.0]","[6.155540209753368e-16,6.155540209753368e-16,0.9999999999999981,6.155540209753368e-16]",2
40,varga,0.11666666666666665,1.0,0.0,"[0.11666666666666665,1.0,0.0]","[0.9999999999990767,3.949085483280766e-23,9.233134730795978e-13,3.949085483280766e-23]",0
41,Vedran Nikolic,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]","[1.0,2.8180322795125286e-22,2.8180333838721223e-22,2.8180322795125286e-22]",0
42,��S,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]","[1.8708056836638046e-16,1.8708056836638046e-16,0.9999999999999994,1.8708056836638046e-16]",2
