,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
10,Ana Horvath,0.2,0.75,0.6,"[0.2,0.75,0.6]",0.5054346112549202,0.8056180801974195,"[0.5054346112549202,0.8056180801974195]","[0.25581419673082906,2.6805631329915597e-16,0.739117730338805,0.00506807293036554]",2
11,Ana Stadler,0.5,1.0,0.25,"[0.5,1.0,0.25]",0.09512946890738422,1.1269719849099324,"[0.09512946890738422,1.1269719849099324]","[0.909583129126377,2.4856339257131773e-16,0.0005662637696520998,0.08985060710397062]",0
12,AnaPetar,1.0,1.0,0.25,"[1.0,1.0,0.25]",-0.17936438830995377,1.311154969334079,"[-0.17936438830995377,1.311154969334079]","[0.003516669301680396,7.425540873453339e-16,9.336134378367543e-09,0.9964833213621845]",3
13,AnBn,0.14285714285714285,1.0,0.5,"[0.14285714285714285,1.0,0.5]",0.49605387920013183,1.0104752170263602,"[0.49605387920013183,1.0104752170263602]","[0.3860712429336409,0.5889580929452167,0.024970664100700736,2.0441617517751502e-11]",1
14,Ando Saina,0.09090909090909091,1.0,1.0,"[0.09090909090909091,1.0,1.0]",0.9342874603548676,1.0214643359509425,"[0.9342874603548676,1.0214643359509425]","[0.034148379170644345,0.9562045277719897,0.009647093057366019,2.7785586870699276e-17]",1
15,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,"[0.11111111111111112,0.9,0.8181818181818182]",0.757733026024705,0.9251788729862996,"[0.757733026024705,0.9251788729862996]","[0.7815300252886698,2.047059457634597e-16,0.21846997471132987,2.0475635074856995e-16]",0
16,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,"[0.14285714285714285,0.7272727272727273,0.5]",0.4511177091906314,0.7574589005407197,"[0.4511177091906314,0.7574589005407197]","[0.050365701693143715,2.3662880744941437e-16,0.7232974889572844,0.22633680934957162]",2
17,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,"[0.3333333333333333,0.2857142857142857,0.125]",-0.0334912324709479,0.39538462214408254,"[-0.0334912324709479,0.39538462214408254]","[2.021252911572799e-12,1.0208977659850596e-15,0.9999999999979767,1.0208977659850596e-15]",2
18,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,"[0.3333333333333333,0.9,0.2727272727272727]",0.18877422286330614,0.9741743261818551,"[0.18877422286330614,0.9741743261818551]","[0.7423306757862566,6.365004915453266e-07,0.012432478275669099,0.24523620943758276]",0
19,Andro Zuanic,0.5,0.6666666666666666,0.5,"[0.5,0.6666666666666666,0.5]",0.24506485276343742,0.8327923270214757,"[0.24506485276343742,0.8327923270214757]","[0.18872716240746995,1.1707950221807508e-16,0.2033072836021779,0.6079655539903521]",3
