,users,followingRatio,order,freq,features,probability,prediction
186,d92b593e-555f-9b3b-4007-752ea02c,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
187,d964c832-c32d-77ff-672a-1cf12f7e,1.0,0.875,0.1111111111111111,"[1.0,0.875,0.1111111111111111]","[0.9999992956098104,7.043901889282125e-07,3.3179103478252404e-16,3.3179103478252404e-16]",0
188,daf25c41-8b84-6414-7646-b7df2abd,1.0,1.0,0.125,"[1.0,1.0,0.125]","[0.9932060349663381,2.3021377917444997e-07,4.49372526665022e-16,0.006793734819882244]",0
189,db98a0d9-3d4f-4219-b27d-74a44a01,0.2,1.0,1.0,"[0.2,1.0,1.0]","[1.0825269297732709e-23,2.970359729766346e-11,1.0825267562382283e-23,0.9999999999702964]",3
190,dd30c478-d26e-3f37-f395-b912bead,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
191,de14f7c6-1844-4e1b-bb5c-16ceef86,0.2,1.0,1.0,"[0.2,1.0,1.0]","[1.0825269297732709e-23,2.970359729766346e-11,1.0825267562382283e-23,0.9999999999702964]",3
192,dfc849d9-7793-4345-d533-579da01b,0.25,1.0,0.2727272727272727,"[0.25,1.0,0.2727272727272727]","[5.897460022855851e-09,9.334027810428457e-08,2.328912196306845e-23,0.9999999007622619]",3
193,e091c85e-d8a5-ed63-dfdb-631d4614,0.25,1.0,0.75,"[0.25,1.0,0.75]","[2.5277237061515397e-20,1.7236075252608938e-09,6.374955278438015e-24,0.9999999982763924]",3
194,e3485d79-4f92-1fff-4e64-56943e9b,0.25,0.7777777777777778,0.4,"[0.25,0.7777777777777778,0.4]","[0.0010834113583073177,0.9989165886416926,7.665585792240547e-17,7.665585792240547e-17]",1
195,e65e8c36-5f2d-131d-9602-cd643f97,0.5,0.0,0.0,"[0.5,0.0,0.0]","[0.02816188605227032,0.9718381139477249,2.396095049012458e-15,2.396095049012458e-15]",1
196,e74ddfe8-97b1-613e-1495-f884f58c,0.25,1.0,1.0,"[0.25,1.0,1.0]","[1.3226419429174479e-23,2.0298543210359626e-11,1.3226417308906432e-23,0.9999999999797015]",3
197,e88cc767-fc0d-54d4-243a-4479ebf9,0.5,1.0,0.14285714285714285,"[0.5,1.0,0.14285714285714285]","[3.1767734807152464e-08,2.1842860386271364e-08,1.6252424742008882e-23,0.9999999463894048]",3
198,e9822752-a8af-cf42-1ddc-d2518ca8,0.3333333333333333,0.75,0.2222222222222222,"[0.3333333333333333,0.75,0.2222222222222222]","[0.07213769772972803,0.927862302270272,5.4244108988335397e-17,5.4244108988335397e-17]",1
199,e99d6a57-d572-b7f6-34cf-3ac76f24,0.16666666666666666,1.0,1.0,"[0.16666666666666666,1.0,1.0]","[1.1405526873179191e-23,4.138791544559586e-11,1.1405525044810272e-23,0.9999999999586121]",3
200,eb9864df-c827-4027-9de4-5829eee9,0.25,0.4,0.2727272727272727,"[0.25,0.4,0.2727272727272727]","[0.0507221361565306,0.9492778638434691,1.1826173484026238e-16,1.1826173484026238e-16]",1
201,eba3b0ea-3aeb-a6e3-8df6-742db8a0,0.5,1.0,0.14285714285714285,"[0.5,1.0,0.14285714285714285]","[3.1767734807152464e-08,2.1842860386271364e-08,1.6252424742008882e-23,0.9999999463894048]",3
202,ebdd7e01-09f4-dbf1-8a08-602d0001,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]","[3.6350449263312185e-20,1.0558922470836542e-09,9.167635206363093e-24,0.9999999989441077]",3
203,ed71098a-9600-3bac-4cca-70ce0496,0.25,1.0,1.0,"[0.25,1.0,1.0]","[1.3226419429174479e-23,2.0298543210359626e-11,1.3226417308906432e-23,0.9999999999797015]",3
204,ed71bd28-a732-78c0-de66-e32f77c8,0.25,1.0,1.0,"[0.25,1.0,1.0]","[1.3226419429174479e-23,2.0298543210359626e-11,1.3226417308906432e-23,0.9999999999797015]",3
205,edcaf7c0-7593-61d2-f4e9-689b8340,0.5,0.6,0.3333333333333333,"[0.5,0.6,0.3333333333333333]","[0.028414617953664772,0.9715853820463349,1.8235876256891577e-16,1.8235876256891577e-16]",1
206,ef70bde5-8a4d-68a0-4f26-e5253d2c,1.0,0.6666666666666666,0.25,"[1.0,0.6666666666666666,0.25]","[0.9999986365259186,1.3634740792149393e-06,1.1076744175224278e-15,1.1076744175224278e-15]",0
207,f2a9ccb0-9831-6d2a-6254-8f0366c9,0.5,1.0,0.16666666666666666,"[0.5,1.0,0.16666666666666666]","[2.5607177855611253e-08,2.338347830060551e-08,1.6378451364434304e-23,0.9999999510093438]",3
208,f4bf52fc-cffa-0f52-f4f9-2eff92fc,1.0,0.0,0.25,"[1.0,0.0,0.25]","[0.9999984021248817,1.5978750844607775e-06,1.688182527280433e-14,1.688182527280433e-14]",0
209,f5196f35-183f-1d55-1883-5fef618e,0.5,1.0,0.0,"[0.5,1.0,0.0]","[3.342012704947762e-08,1.0666577208237537e-08,1.8659230875471536e-23,0.9999999559132957]",3
210,f6956137-aec3-29d6-ad64-d870e209,0.19999999999999998,1.0,0.42857142857142855,"[0.19999999999999998,1.0,0.42857142857142855]","[3.4059321977735315e-11,8.915354026907079e-08,2.2539909053623598e-23,0.9999999108124005]",3
211,f6c2c059-c90e-1566-cc25-b0823249,1.0,1.0,0.1,"[1.0,1.0,0.1]","[0.9907402107387324,2.5710839814685007e-07,4.0244692505025554e-16,0.009259532152869027]",0
212,f6cd37ab-4add-fb6f-20c2-2374f109,1.0,1.0,0.0,"[1.0,1.0,0.0]","[0.941131872349883,6.269533312150846e-07,5.254557190774148e-16,0.05886750069678519]",0
213,f83fd099-8c89-2894-3a91-bb38be88,0.3333333333333333,1.0,0.375,"[0.3333333333333333,1.0,0.375]","[7.886963884222323e-11,3.1061478409927414e-08,6.462737687269538e-24,0.999999968859652]",3
214,f8c2bef5-12f7-05a2-39e8-43daff7b,0.25,0.4,0.0,"[0.25,0.4,0.0]","[0.19012697277376256,0.8098730272262366,4.675202912410911e-16,4.675202912410911e-16]",1
215,f8f5aa96-ff9b-eb8f-c3dc-06293d3f,0.5,0.6666666666666666,0.0,"[0.5,0.6666666666666666,0.0]","[0.19259783145858317,0.8074021685414166,1.3887129611362438e-16,1.3887129611362438e-16]",1
216,fcb83a6e-9298-b96c-29e5-c217b27f,0.3333333333333333,0.8333333333333334,0.14285714285714285,"[0.3333333333333333,0.8333333333333334,0.14285714285714285]","[0.24172339410970303,0.7582766058902969,8.784848050623625e-17,8.784848050623625e-17]",1
217,ff3d026c-5e45-1835-2b58-e6308d38,1.0,0.6666666666666666,0.25,"[1.0,0.6666666666666666,0.25]","[0.9999986365259186,1.3634740792149393e-06,1.1076744175224278e-15,1.1076744175224278e-15]",0
218,ff549000-a9c8-4964-1ece-6923a32e,0.33333333333333337,1.0,0.6,"[0.33333333333333337,1.0,0.6]","[1.1483248869361084e-15,6.317739111233461e-09,6.137255043914175e-24,0.9999999936822598]",3
