,users,followingRatio,order,freq,features,probability,prediction
78,427905ff-8519-fc73-90ee-17ecae10,1.0,0.75,0.0,"[1.0,0.75,0.0]","[1.844169226021247e-23,3.0133095267541337e-09,4.0267072326922893e-13,0.9999999969862877,1.844169226021247e-23]",3
79,440d90ef-c7d7-0530-608e-8c0fc440,0.19999999999999998,1.0,0.7142857142857143,"[0.19999999999999998,1.0,0.7142857142857143]","[0.9972550718628392,6.836656584235964e-17,0.0011457326432290915,6.836655671691069e-17,0.0015991954939314895]",0
80,459f5319-edaf-cd53-126d-fdfb12a5,0.25,1.0,1.0,"[0.25,1.0,1.0]","[0.9783637345794316,2.2324939020291707e-17,2.2335599836838095e-10,2.2324939020291707e-17,0.021636265197212436]",0
81,45d78fe4-7d30-3b18-371e-57bb06c7,1.0,1.0,0.1111111111111111,"[1.0,1.0,0.1111111111111111]","[1.8858504473235153e-16,0.9999987005978994,1.2994020999526972e-06,1.8858504473235153e-16,1.8858504473235153e-16]",1
82,461e7201-9b62-2da4-aca6-9bc7e2aa,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
83,4641102c-f3d3-3878-6d00-1c49a28c,0.25,0.7,0.2727272727272727,"[0.25,0.7,0.2727272727272727]","[8.343812914800891e-06,0.004333600927102981,0.9956579774585241,6.103439082584823e-17,7.78014579466754e-08]",2
84,4a97a9b2-74fe-c9f3-625f-0176bddf,0.19999999999999998,0.8,0.3333333333333333,"[0.19999999999999998,0.8,0.3333333333333333]","[0.0009337659762201021,0.00016250257398229209,0.9989037299988133,7.704171395044373e-17,1.4509841994954138e-09]",2
85,4b21d918-4ac0-0787-3094-37c9432c,0.3333333333333333,0.6,0.2727272727272727,"[0.3333333333333333,0.6,0.2727272727272727]","[5.924340267831485e-10,0.009946498512104373,0.9893913702171186,5.842816690087374e-17,0.0006621306783429415]",2
86,4bd540f6-e34d-4592-7680-b2735389,0.16666666666666666,1.0,1.0,"[0.16666666666666666,1.0,1.0]","[0.9995141090275329,2.5431573756917014e-17,1.7245566857856352e-09,2.5431573756917014e-17,0.00048588924791039353]",0
87,4c4ac589-35f5-76e3-d0a3-fedab6c6,0.16666666666666666,0.7142857142857143,0.5,"[0.16666666666666666,0.7142857142857143,0.5]","[0.2243448397154114,7.261251036254883e-10,0.7756551564927034,1.6457308211267119e-16,3.065759804673992e-09]",2
88,4cc576c8-f218-94be-fef3-4b6fd86e,0.16666666666666666,0.8333333333333334,0.3076923076923077,"[0.16666666666666666,0.8333333333333334,0.3076923076923077]","[0.0008919562466465751,0.0006758356994661367,0.9984322080512941,1.4185123482157968e-16,2.5930521326400713e-12]",2
89,4d0232bc-202c-ee3a-e58c-e543848c,0.16666666666666669,1.0,0.7142857142857143,"[0.16666666666666669,1.0,0.7142857142857143]","[0.9984671162492298,7.279642392726445e-17,0.0014844714036539681,7.279641793297381e-17,4.841234711582549e-05]",0
90,4debb215-7398-77ba-2243-94adbd31,0.3333333333333333,1.0,0.1111111111111111,"[0.3333333333333333,1.0,0.1111111111111111]","[5.104885111332323e-16,0.17123918657944945,0.8287605255368307,2.033349731791472e-16,2.878837192977538e-07]",2
91,4f3771bf-0850-3813-5de9-d0592e66,1.0,0.75,0.0,"[1.0,0.75,0.0]","[1.844169226021247e-23,3.0133095267541337e-09,4.0267072326922893e-13,0.9999999969862877,1.844169226021247e-23]",3
92,4fa0f410-5265-9be6-be9d-778ee66d,1.0,0.75,0.0,"[1.0,0.75,0.0]","[1.844169226021247e-23,3.0133095267541337e-09,4.0267072326922893e-13,0.9999999969862877,1.844169226021247e-23]",3
93,502b50b6-08fa-b922-9bb6-dbd4d848,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
94,52656cee-d479-aed9-c14a-94a33208,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
95,53cb26b0-7222-8eb4-ef0d-29e7a801,1.0,0.25,0.2,"[1.0,0.25,0.2]","[3.929555165124173e-16,0.9999999993304822,6.69516628462427e-10,3.929555165124173e-16,3.929555165124173e-16]",1
96,5409088d-b542-9cac-7fac-9ab00271,0.3333333333333333,0.7272727272727273,0.25,"[0.3333333333333333,0.7272727272727273,0.25]","[5.298960230600798e-10,0.012100927623523255,0.9876925030845989,3.904882450213419e-17,0.00020656876198173107]",2
97,5414140f-2888-40b9-e1e2-7984f327,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
98,54e1c86d-b289-f693-e3a3-5d393778,0.19999999999999998,0.8,0.8333333333333334,"[0.19999999999999998,0.8,0.8333333333333334]","[0.9996333127794296,3.484266363956832e-17,1.4965207633062638e-05,3.484266363956831e-17,0.00035172201293726503]",0
99,54ec8d85-fcb4-2695-6332-e8c53e6e,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
100,554558f4-55fd-07df-ddb3-309239ad,0.3333333333333333,1.0,0.25,"[0.3333333333333333,1.0,0.25]","[1.3286968091683721e-12,0.009591287122680857,0.9903685249643237,6.881196346586222e-17,4.018791166664118e-05]",2
101,56a4a9a0-7ab4-0a76-0621-b118321b,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
102,57b97824-05f2-21af-72f1-95f7d697,0.3333333333333333,0.5714285714285714,0.125,"[0.3333333333333333,0.5714285714285714,0.125]","[2.5604915067182577e-12,0.1588036703071743,0.8411864516191202,1.869950998400062e-16,9.87807114490235e-06]",2
103,57fbd139-416d-e97c-42e1-e3d21786,1.0,1.0,0.0,"[1.0,1.0,0.0]","[1.846602597427662e-23,4.252805548696573e-09,5.95366070323214e-13,0.999999995746599,1.846602597427662e-23]",3
