,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
38,blaz02,1.0,1.0,0.16666666666666666,"[1.0,1.0,0.16666666666666666]",-0.47176369515903244,-1.222032361849088,"[-0.47176369515903244,-1.222032361849088]","[4.907066209101916e-06,9.08460388758421e-17,9.124052669941988e-17,0.9999950929337907]",3
39,Bojan1825,0.125,1.0,0.6666666666666666,"[0.125,1.0,0.6666666666666666]",0.4781149618657505,-0.8984316612713756,"[0.4781149618657505,-0.8984316612713756]","[0.000871632274411721,0.8209680249384754,0.17816034278711293,2.966341557665989e-17]",1
40,Bor,1.0,0.8571428571428571,0.0,"[1.0,0.8571428571428571,0.0]",-0.6055731137652888,-1.0651501944960364,"[-0.6055731137652888,-1.0651501944960364]","[2.392738667555433e-05,6.385658405887145e-17,6.497507143925043e-17,0.9999760726133243]",3
41,BORIS MREVLJE,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.26976624281795764,-0.777480372887422,"[-0.26976624281795764,-0.777480372887422]","[0.999762671224215,2.1896563659739236e-16,0.00023732877578453582,2.1896563659739236e-16]",0
42,BorutKolar,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.26976624281795764,-0.777480372887422,"[-0.26976624281795764,-0.777480372887422]","[0.999762671224215,2.1896563659739236e-16,0.00023732877578453582,2.1896563659739236e-16]",0
43,Bo��tjan M.,0.16666666666666669,1.0,0.7142857142857143,"[0.16666666666666669,1.0,0.7142857142857143]",0.4866916477603209,-0.9548365820602575,"[0.4866916477603209,-0.9548365820602575]","[0.0016108318095436854,0.3533526654365092,0.6450365027539469,1.0945539429513944e-16]",2
44,BostjanH,0.25,0.9166666666666666,0.0,"[0.25,0.9166666666666666,0.0]",-0.11080580907014476,-0.5673169499307762,"[-0.11080580907014476,-0.5673169499307762]","[0.7487992940208431,7.641221103930725e-08,0.2512006295669457,1.5877004450142806e-16]",0
45,Bo��tjanK,0.08333333333333333,1.0,0.6153846153846154,"[0.08333333333333333,1.0,0.6153846153846154]",0.46677883992524427,-0.8399244141430828,"[0.46677883992524427,-0.8399244141430828]","[0.0023800158079562545,0.7568021063790545,0.24081787781298922,4.6817741207549073e-17]",1
46,Branklo,0.3333333333333333,1.0,0.75,"[0.3333333333333333,1.0,0.75]",0.4044122183978098,-1.0916329773756699,"[0.4044122183978098,-1.0916329773756699]","[0.004373757952864843,2.2057248328159055e-14,0.9956262420471125,6.07149134456145e-16]",2
47,BrunoB,0.14285714285714288,0.875,0.6666666666666666,"[0.14285714285714288,0.875,0.6666666666666666]",0.4591934898629874,-0.8573192086723441,"[0.4591934898629874,-0.8573192086723441]","[0.0016887425268763767,0.8116397743589793,0.18667148311414444,3.0880846203635746e-17]",1
48,Buda,0.5,0.4,0.3333333333333333,"[0.5,0.4,0.3333333333333333]",-0.05332889240570937,-0.7116415303524494,"[-0.05332889240570937,-0.7116415303524494]","[0.9090438690860011,1.4363852179895894e-12,0.09095613091256229,8.08047240557098e-17]",0
49,Buki,0.1,1.0,0.8,"[0.1,1.0,0.8]",0.5949360235593762,-0.957511533000013,"[0.5949360235593762,-0.957511533000013]","[3.5429662725945386e-05,0.9378072699092286,0.0621573004280455,2.5985054872650376e-17]",1
50,chibu79,0.0909090909090909,1.0,0.9166666666666666,"[0.0909090909090909,1.0,0.9166666666666666]",0.6887795487575475,-1.0181270607190087,"[0.6887795487575475,-1.0181270607190087]","[2.974805734275876e-06,0.9546559766467393,0.045341048547526505,4.962225691551792e-17]",1
51,Cromiza,0.25,0.8,0.2727272727272727,"[0.25,0.8,0.2727272727272727]",0.08790509998602933,-0.6738432081523628,"[0.08790509998602933,-0.6738432081523628]","[0.4529505810276219,0.0004172722819978167,0.5466321466903803,7.334100378281594e-17]",2
52,cvjetko,0.1111111111111111,1.0,0.6666666666666666,"[0.1111111111111111,1.0,0.6666666666666666]",0.48721362276661606,-0.8887401018125294,"[0.48721362276661606,-0.8887401018125294]","[0.0006769450509173978,0.8595267897338862,0.13979626521519636,2.5772173690336485e-17]",1
