,users,intensityNormalized,order,freq,features,probability,prediction
12,0a84077c-d3fa-56fc-803c-a863ca7e,0.25,0.6666666666666666,0.0,"[0.25,0.6666666666666666,0.0]","[0.15987810723493143,1.8660665466586566e-17,1.8660665466561624e-17,0.8401218927650684]",3
13,0c9621b0-ff94-77e8-727f-5420882d,0.016666666666666663,1.0,0.5,"[0.016666666666666663,1.0,0.5]","[0.5609731893976745,2.590491533995756e-16,0.43902681060232496,2.590491533995756e-16]",0
14,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]","[4.825237085307701e-15,0.9980132277829283,1.192989833423654e-16,0.001986772217066794]",1
15,0f165b85-0670-e6ac-bf14-cf00655a,0.0972222222222222,1.0,0.0,"[0.0972222222222222,1.0,0.0]","[0.12642439465812386,5.559114061937738e-17,5.563561919709572e-17,0.8735756053418761]",3
16,101c246c-3f77-d919-ca38-8d19141e,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.3352347383715327,2.1026023666495743e-17,2.1026023666489848e-17,0.6647652616284673]",3
17,10355f7a-f86a-830c-cbf1-fb3c40b6,0.08333333333333333,0.6666666666666666,0.0,"[0.08333333333333333,0.6666666666666666,0.0]","[0.06771710595980697,3.391663013865715e-17,1.1417626114281257e-09,0.9322828928984305]",3
18,135b42ab-ac52-d14a-c37c-6ffeca28,0.5833333333333334,1.0,0.0,"[0.5833333333333334,1.0,0.0]","[2.3631828758155006e-05,2.445670008593134e-11,4.229577282183296e-17,0.999976368146785]",3
19,1459b8fd-ecab-4e30-1fc9-3d649648,0.5,0.3333333333333333,0.14285714285714285,"[0.5,0.3333333333333333,0.14285714285714285]","[9.781443735224801e-07,0.9999986739695496,8.064117656114407e-17,3.478860768137288e-07]",1
20,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,1.0,0.25,"[0.25,1.0,0.25]","[0.9851654463206584,0.014834553679341327,6.56781907263647e-17,6.56851292204418e-17]",0
21,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.08333333333333333,0.6666666666666666,0.25,"[0.08333333333333333,0.6666666666666666,0.25]","[0.9664925196740218,0.03350746762004485,1.2705933488523304e-08,3.3976495599672156e-17]",0
22,14b19a02-38a5-992d-2f4f-aebd2315,0.3333333333333333,0.0,0.0,"[0.3333333333333333,0.0,0.0]","[1.513542156787123e-05,5.69257506297383e-16,5.692574862106137e-16,0.9999848645784309]",3
23,16ba8f74-d9b7-c724-98c5-f31f43be,0.016666666666666663,0.8,0.8333333333333334,"[0.016666666666666663,0.8,0.8333333333333334]","[4.007113505911294e-05,5.070652097738323e-18,0.9999599288649409,5.070652097738323e-18]",2
24,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.5833333333333334,0.8571428571428571,0.125,"[0.5833333333333334,0.8571428571428571,0.125]","[2.0865025876005163e-06,0.9999780818296568,4.563700870749964e-17,1.98316677556634e-05]",1
25,195b9f52-3731-37a7-2c74-19d11cb6,0.5,1.0,0.0,"[0.5,1.0,0.0]","[0.001458339886864924,3.8028671452508885e-15,3.1097141107432354e-17,0.9985416601131313]",3
26,196bc15c-4aac-31e9-7c5d-3599ce10,0.125,0.0,0.2,"[0.125,0.0,0.2]","[0.037149138561230734,0.9628508614355595,7.982250761823723e-15,3.201756064882581e-12]",1
27,1acb1c12-47e9-e408-eaf9-8167947a,0.0,1.0,1.0,"[0.0,1.0,1.0]","[2.0919413378917108e-08,3.680227271600484e-18,0.9999999790805866,3.680227271600484e-18]",2
28,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.0,1.0,0.75,"[0.0,1.0,0.75]","[0.00032625336253646855,1.45040432236473e-17,0.9996737466374636,1.45040432236473e-17]",2
29,1beb31a1-0aea-018e-a7e1-82085ffa,0.25,1.0,0.0,"[0.25,1.0,0.0]","[0.3352347383715327,2.1026023666495743e-17,2.1026023666489848e-17,0.6647652616284673]",3
30,1c09a110-d9c3-2442-9f5d-aee802c0,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]","[0.8491426287239257,0.1508573712760743,7.679519292176593e-17,7.680936354053286e-17]",0
31,1cb07e56-7b73-0087-0a17-3e9c1f88,0.08333333333333333,0.8571428571428571,0.5,"[0.08333333333333333,0.8571428571428571,0.5]","[0.9999999999612817,1.434789425322554e-16,3.8717948498536716e-11,1.434789425322554e-16]",0
32,1d3ed189-1162-0dd0-bcb2-fda83a50,0.0,0.8,0.8333333333333334,"[0.0,0.8,0.8333333333333334]","[0.00012861255458561363,1.4045503801349105e-17,0.9998713874454144,1.4045503801349105e-17]",2
33,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.125,0.75,0.4,"[0.125,0.75,0.4]","[0.999999999999997,2.9552983442146847e-15,4.598892374161905e-17,4.5988923741577424e-17]",0
34,1d90b45b-4d8d-42a1-43cd-38e1a241,0.0,0.75,0.8,"[0.0,0.75,0.8]","[0.001182774412327805,4.174585068788531e-17,0.9988172255876722,4.174585068788531e-17]",2
35,1e81aa64-c3c9-ee4f-ce3c-c4248be0,0.3333333333333333,0.0,0.0,"[0.3333333333333333,0.0,0.0]","[1.513542156787123e-05,5.69257506297383e-16,5.692574862106137e-16,0.9999848645784309]",3
