,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,features,prediction
38,27080783-250a-3521-f816-6e7b29cf,1.0,5.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,"(8,[0,4,5,6],[1.0,1.0,0.4,0.4])",-1.05074944265509,-0.10180923640582136,"[-1.05074944265509,-0.10180923640582136]",0
39,2c1d08f2-a1ba-6915-db46-1a7721b9,0.0,5.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,"(8,[2,3,5],[1.0,1.0,0.8])",0.7957663965916639,0.619232528950409,"[0.7957663965916639,0.619232528950409]",2
40,2ee1d86b-74ed-47f3-5733-61cc4821,0.0,4.0,0.0,1.0,0.75,0.25,0.75,0.0,0.0,"(8,[2,3,4,5],[1.0,0.75,0.25,0.75])",0.4993825048244268,0.672366272795121,"[0.4993825048244268,0.672366272795121]",2
41,2f7f0e40-1234-75db-2bcf-bdfbdfbc,1.0,6.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.8333333333333334])",-1.0453447361913515,-0.14659855289877022,"[-1.0453447361913515,-0.14659855289877022]",0
42,31a88be4-13ad-06c2-119c-3551a490,0.1,10.0,0.2,0.7,1.0,0.0,0.7,0.2,0.0,"[0.1,0.2,0.7,1.0,0.0,0.7,0.2,0.0]",0.7280316122378896,0.26613196158862507,"[0.7280316122378896,0.26613196158862507]",2
43,3244a4c0-3f85-3017-5694-2f5647cb,0.8571428571428571,7.0,0.0,0.14285714285714285,0.0,1.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,"[0.8571428571428571,0.0,0.14285714285714285,0.0,1.0,0.5714285714285714,0.14285714285714285,0.14285714285714285]",-0.9427418910968455,0.015506918705699516,"[-0.9427418910968455,0.015506918705699516]",0
44,3447bacb-f54d-55c2-592f-3a3ff765,0.25,8.0,0.75,0.0,0.75,0.25,0.875,0.0,0.0,"[0.25,0.75,0.0,0.75,0.25,0.875,0.0,0.0]",0.3419055700697253,-0.5942027755197927,"[0.3419055700697253,-0.5942027755197927]",3
45,34a3d1d8-74eb-8a4e-0506-b9ca1551,0.25,4.0,0.0,0.75,0.75,0.25,0.5,0.25,0.0,"[0.25,0.0,0.75,0.75,0.25,0.5,0.25,0.0]",0.33269934282877406,0.45831485504713326,"[0.33269934282877406,0.45831485504713326]",2
46,35813a40-7aa6-5336-237b-c93f1759,0.125,8.0,0.875,0.0,1.0,0.0,0.75,0.0,0.125,"[0.125,0.875,0.0,1.0,0.0,0.75,0.0,0.125]",0.732275289646676,-0.6835478726923812,"[0.732275289646676,-0.6835478726923812]",4
47,35ce5334-aefb-9a61-d1c3-7f01a776,0.125,8.0,0.875,0.0,1.0,0.0,0.875,0.0,0.0,"(8,[0,1,3,5],[0.125,0.875,1.0,0.875])",0.7218073607884165,-0.6932008772763452,"[0.7218073607884165,-0.6932008772763452]",4
48,35daa597-4591-5a82-57a9-1fba2635,1.0,4.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.75])",-1.0440365784742387,-0.14093905567449028,"[-1.0440365784742387,-0.14093905567449028]",0
49,367365a7-8d2a-3b00-f3e3-f877be3c,0.2857142857142857,7.0,0.7142857142857143,0.0,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,"[0.2857142857142857,0.7142857142857143,0.0,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285]",0.4536350229610062,-0.558824654593121,"[0.4536350229610062,-0.558824654593121]",4
50,3681eecc-7864-c1c1-0024-4d4234be,0.1,10.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,"(8,[0,1,3,5],[0.1,0.9,1.0,0.9])",0.7379615143375199,-0.7047507376929109,"[0.7379615143375199,-0.7047507376929109]",4
