,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,_3,prediction
20,andrzej,0.5,4.0,0.25,0.25,0.0,1.0,0.0,0.5,0.25,"[0.5,0.25,0.25,0.0,1.0,0.0,0.5,0.25]",-0.7061564776753084,0.16082186448272842,0.16082186448272842,1
21,ane,0.125,8.0,0.875,0.0,1.0,0.0,0.875,0.0,0.0,"(8,[0,1,3,5],[0.125,0.875,1.0,0.875])",0.692324777687108,-0.8146116391374483,-0.8146116391374483,0
22,Anela,0.25,4.0,0.5,0.25,0.75,0.25,0.0,0.5,0.25,"[0.25,0.5,0.25,0.75,0.25,0.0,0.5,0.25]",0.34278006518807647,-0.14416107412465898,-0.14416107412465898,0
23,Ankica,0.09090909090909091,11.0,0.45454545454545453,0.45454545454545453,1.0,0.0,0.8181818181818182,0.09090909090909091,0.0,"[0.09090909090909091,0.45454545454545453,0.45454545454545453,1.0,0.0,0.8181818181818182,0.09090909090909091,0.0]",0.7322871778926654,-0.21999038801996132,-0.21999038801996132,0
24,Annie,1.0,13.0,0.0,0.0,0.0,1.0,0.9230769230769231,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.9230769230769231])",-1.0516770263041801,-0.24311205284744736,-0.24311205284744736,1
25,ante vrataric,0.3333333333333333,6.0,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.16666666666666666,0.0,"[0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.16666666666666666,0.0]",-0.012806807826601456,0.10193913252973118,0.10193913252973118,2
26,anton janeš,0.36363636363636365,11.0,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0,"[0.36363636363636365,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0]",0.23267871698828022,-0.19331230247802045,-0.19331230247802045,0
27,Anze-G,0.25,4.0,0.75,0.0,1.0,0.0,0.75,0.0,0.0,"(8,[0,1,3,5],[0.25,0.75,1.0,0.75])",0.61547389088723,-0.7505050479414397,-0.7505050479414397,0
28,Anzze99,0.6666666666666666,9.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.1111111111111111,"[0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.1111111111111111]",-0.4434725092738576,-0.25803899218990123,-0.25803899218990123,1
29,Apsirtgirl,0.7142857142857143,7.0,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.0,0.0,"[0.7142857142857143,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.0,0.0]",-0.3600653390686195,-0.45066788012011627,-0.45066788012011627,1
