,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,features,prediction
24,Annie,1.0,13.0,0.0,0.0,0.0,1.0,0.9230769230769231,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.9230769230769231])",-1.0525763567753355,-0.20121782805218202,"[-1.0525763567753355,-0.20121782805218202]",0
25,ante vrataric,0.16666666666666666,6.0,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.16666666666666666,0.0,"[0.16666666666666666,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.16666666666666666,0.0]",0.07980025006179316,0.07445400180400018,"[0.07980025006179316,0.07445400180400018]",3
26,anton janeš,0.2727272727272727,11.0,0.36363636363636365,0.36363636363636365,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0,"[0.2727272727272727,0.36363636363636365,0.36363636363636365,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0]",0.28733444139082925,-0.09692486107414822,"[0.28733444139082925,-0.09692486107414822]",4
27,Anze-G,0.0,4.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,"(8,[1,3,5],[1.0,1.0,0.75])",0.8395361749360778,-0.7350568713830419,"[0.8395361749360778,-0.7350568713830419]",4
28,Anzze99,0.4444444444444444,9.0,0.5555555555555556,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.1111111111111111,"[0.4444444444444444,0.5555555555555556,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.1111111111111111]",-0.26341579165367157,-0.39437007982453726,"[-0.26341579165367157,-0.39437007982453726]",1
29,Apsirtgirl,0.5714285714285714,7.0,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.0,0.0,"[0.5714285714285714,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.0,0.0]",-0.24186819721460187,-0.43093589630775414,"[-0.24186819721460187,-0.43093589630775414]",1
30,benjamin,0.0,6.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.0,0.0,"(8,[1,3,5],[1.0,1.0,0.8333333333333334])",0.8375421508562602,-0.7444592626445455,"[0.8375421508562602,-0.7444592626445455]",4
31,blaz02,0.0,6.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.0,0.0,"(8,[1,3,5],[1.0,1.0,0.8333333333333334])",0.8375421508562602,-0.7444592626445455,"[0.8375421508562602,-0.7444592626445455]",4
32,Bojan1825,0.5,12.0,0.5,0.0,0.3333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,"[0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0]",-0.3058935083862383,-0.47426521190060034,"[-0.3058935083862383,-0.47426521190060034]",1
33,BORIS MREVLJE,0.0,8.0,0.0,1.0,0.875,0.125,0.75,0.125,0.0,"[0.0,0.0,1.0,0.875,0.125,0.75,0.125,0.0]",0.5947597790606642,0.6619190973822152,"[0.5947597790606642,0.6619190973822152]",3
34,Boštjan M.,0.5714285714285714,7.0,0.2857142857142857,0.14285714285714285,0.0,1.0,0.8571428571428571,0.0,0.0,"[0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,1.0,0.8571428571428571,0.0,0.0]",-0.7627706796701267,-0.22498840444359713,"[-0.7627706796701267,-0.22498840444359713]",0
35,BostjanH,0.0,13.0,0.0,1.0,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.07692307692307693,0.07692307692307693,"[0.0,0.0,1.0,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.07692307692307693,0.07692307692307693]",0.6579560628054815,0.6612340910043132,"[0.6579560628054815,0.6612340910043132]",3
36,BoštjanK,0.8461538461538461,13.0,0.15384615384615385,0.0,0.0,1.0,0.9230769230769231,0.0,0.0,"(8,[0,1,4,5],[0.8461538461538461,0.15384615384615385,1.0,0.9230769230769231])",-0.9443864217968256,-0.28366239649031333,"[-0.9443864217968256,-0.28366239649031333]",0
37,Branklo,0.5,4.0,0.5,0.0,0.0,1.0,0.5,0.25,0.0,"[0.5,0.5,0.0,0.0,1.0,0.5,0.25,0.0]",-0.6999885870136605,-0.4102454036043761,"[-0.6999885870136605,-0.4102454036043761]",1
38,BrunoB,0.4444444444444444,9.0,0.4444444444444444,0.1111111111111111,0.0,1.0,0.3333333333333333,0.4444444444444444,0.1111111111111111,"[0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0,1.0,0.3333333333333333,0.4444444444444444,0.1111111111111111]",-0.6671528542098373,-0.2516950210335066,"[-0.6671528542098373,-0.2516950210335066]",1
39,Buda,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.5,"(8,[1,3,6,7],[1.0,1.0,0.3333333333333333,0.5])",0.8773737930898996,-0.6064356449971702,"[0.8773737930898996,-0.6064356449971702]",4
40,Buki,1.0,10.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.9])",-1.0520241654916938,-0.19861408893361174,"[-1.0520241654916938,-0.19861408893361174]",0
41,chibu79,0.8333333333333334,12.0,0.16666666666666666,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0,"[0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0]",-0.9362741919295368,-0.2766797734997362,"[-0.9362741919295368,-0.2766797734997362]",0
42,Cromiza,0.09090909090909091,11.0,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.18181818181818182,"[0.09090909090909091,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.18181818181818182]",0.4193842791483352,0.005994248460010693,"[0.4193842791483352,0.005994248460010693]",3
43,cvjetko,0.4166666666666667,12.0,0.5,0.08333333333333333,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0,"[0.4166666666666667,0.5,0.08333333333333333,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0]",-0.6509354361975156,-0.38420045740032105,"[-0.6509354361975156,-0.38420045740032105]",1
44,Dalka,0.5,8.0,0.0,0.5,0.0,1.0,0.125,0.375,0.375,"[0.5,0.0,0.5,0.0,1.0,0.125,0.375,0.375]",-0.7175743236939176,0.3540742422137967,"[-0.7175743236939176,0.3540742422137967]",2
45,Damir Mulalic,0.0,12.0,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.0,0.0,"[0.0,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.0,0.0]",0.38690639302507945,0.06233096605352394,"[0.38690639302507945,0.06233096605352394]",3
46,damir.juretic,1.0,11.0,0.0,0.0,0.0,1.0,0.8181818181818182,0.09090909090909091,0.0,"(8,[0,4,5,6],[1.0,1.0,0.8181818181818182,0.09090909090909091])",-1.053394769407963,-0.18531644853215554,"[-1.053394769407963,-0.18531644853215554]",0
