,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,_3,features,probability,prediction
25,ante vrataric,0.3333333333333333,6.0,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.16666666666666666,0.0,"[0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.16666666666666666,0.0]",-0.012806807826601456,0.10193913252973118,0.10193913252973118,"[-0.012806807826601456,0.10193913252973118,0.10193913252973118]","[9.978151756860434e-07,2.4345478162708526e-15,0.9999990021848219]",2
26,anton janeš,0.36363636363636365,11.0,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0,"[0.36363636363636365,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0]",0.23267871698828022,-0.19331230247802045,-0.19331230247802045,"[0.23267871698828022,-0.19331230247802045,-0.19331230247802045]","[0.01724872246699491,3.90538729007216e-15,0.9827512775330012]",2
27,Anze-G,0.25,4.0,0.75,0.0,1.0,0.0,0.75,0.0,0.0,"(8,[0,1,3,5],[0.25,0.75,1.0,0.75])",0.61547389088723,-0.7505050479414397,-0.7505050479414397,"[0.61547389088723,-0.7505050479414397,-0.7505050479414397]","[0.9985623804912923,1.7294478138688675e-15,0.0014376195087059905]",0
28,Anzze99,0.6666666666666666,9.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.1111111111111111,"[0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.1111111111111111]",-0.4434725092738576,-0.25803899218990123,-0.25803899218990123,"[-0.4434725092738576,-0.25803899218990123,-0.25803899218990123]","[0.908782652470922,6.610029707931057e-14,0.09121734752901192]",0
29,Apsirtgirl,0.7142857142857143,7.0,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.0,0.0,"[0.7142857142857143,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.0,0.0]",-0.3600653390686195,-0.45066788012011627,-0.45066788012011627,"[-0.3600653390686195,-0.45066788012011627,-0.45066788012011627]","[0.9526975057926219,1.608867453426524e-15,0.04730249420737644]",0
30,benjamin,0.16666666666666666,6.0,0.8333333333333334,0.0,1.0,0.0,0.8333333333333334,0.0,0.0,"(8,[0,1,3,5],[0.16666666666666666,0.8333333333333334,1.0,0.8333333333333334])",0.666707815420482,-0.7932427754054454,-0.7932427754054454,"[0.666707815420482,-0.7932427754054454,-0.7932427754054454]","[0.9991076627485284,2.438035310947785e-15,0.0008923372514692084]",0
31,blaz02,0.16666666666666666,6.0,0.8333333333333334,0.0,1.0,0.0,0.8333333333333334,0.0,0.0,"(8,[0,1,3,5],[0.16666666666666666,0.8333333333333334,1.0,0.8333333333333334])",0.666707815420482,-0.7932427754054454,-0.7932427754054454,"[0.666707815420482,-0.7932427754054454,-0.7932427754054454]","[0.9991076627485284,2.438035310947785e-15,0.0008923372514692084]",0
32,Bojan1825,0.6666666666666666,12.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,"[0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0]",-0.44405225777738,-0.4488427590908335,-0.4488427590908335,"[-0.44405225777738,-0.4488427590908335,-0.4488427590908335]","[0.951767414779507,2.257912525628801e-15,0.048232585220490794]",0
33,BORIS MREVLJE,0.0,8.0,0.0,1.0,0.875,0.125,0.75,0.125,0.0,"[0.0,0.0,1.0,0.875,0.125,0.75,0.125,0.0]",0.6665485902482027,0.5084291350369997,0.5084291350369997,"[0.6665485902482027,0.5084291350369997,0.5084291350369997]","[2.4171235043090197e-15,2.417123504307434e-15,0.9999999999999951]",2
34,Boštjan M.,0.7142857142857143,7.0,0.14285714285714285,0.14285714285714285,0.0,1.0,0.8571428571428571,0.0,0.0,"[0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,1.0,0.8571428571428571,0.0,0.0]",-0.8621691431116549,-0.13787042908129238,-0.13787042908129238,"[-0.8621691431116549,-0.13787042908129238,-0.13787042908129238]","[0.10927527777713415,0.8883817646858889,0.00234295753697686]",1
